class	cap-shape	cap-color	bruises	gill-attachment	gill-color	stalk-shape	stalk-surface-above-ring	stalk-surface-below-ring	stalk-color-above-ring	veil-type	veil-color	ring-number	population
e	x	g	f	f	n	t	s	s	w	p	w	o	s
e	x	y	t	f	w	e	s	y	w	p	w	o	s
e	x	n	f	f	k	t	s	s	w	p	w	o	s
e	b	w	t	f	w	e	s	s	w	p	w	o	s
e	x	w	t	f	n	e	s	s	w	p	w	o	s
e	f	n	t	f	w	e	s	y	w	p	w	o	y
e	s	n	f	f	n	e	s	s	w	p	w	o	v
e	x	n	f	f	n	e	s	s	w	p	w	o	y
e	b	w	t	f	k	e	s	s	w	p	w	o	s
e	x	y	t	f	g	e	s	s	w	p	w	o	s
e	x	y	t	f	g	e	s	s	w	p	w	o	n
e	x	n	f	f	n	t	s	s	w	p	w	o	a
e	x	w	t	f	g	e	s	s	w	p	w	o	s
e	f	n	t	f	p	e	s	y	w	p	w	o	s
e	x	y	t	f	n	e	s	s	w	p	w	o	n
e	b	w	t	f	g	e	s	s	w	p	w	o	s
e	x	w	t	f	g	e	s	s	w	p	w	o	s
e	x	n	f	f	p	t	f	s	w	p	w	o	s
e	b	y	t	f	n	e	s	s	w	p	w	o	n
e	f	y	t	f	w	e	s	y	w	p	w	o	s
e	x	y	t	f	n	e	s	y	w	p	w	o	y
e	b	w	t	f	g	e	s	s	w	p	w	o	n
e	x	y	t	f	n	e	s	s	w	p	w	o	n
e	x	y	t	f	w	e	s	y	w	p	w	o	y
e	b	w	t	f	n	e	s	s	w	p	w	o	s
e	b	w	t	f	g	e	s	s	w	p	w	o	s
e	x	y	t	f	k	e	s	s	w	p	w	o	n
e	x	y	t	f	w	e	s	s	w	p	w	o	n
e	s	g	f	f	g	e	s	s	w	p	w	o	y
e	x	w	t	f	w	t	s	s	w	p	w	o	v
e	x	y	t	f	n	e	s	s	w	p	w	o	n
p	x	w	t	f	n	e	s	s	w	p	w	o	v
e	x	y	t	f	p	e	s	y	w	p	w	o	s
e	s	g	f	f	p	e	s	s	w	p	w	o	y
e	x	y	t	f	w	e	s	y	w	p	w	o	y
e	x	y	t	f	p	t	s	s	w	p	w	o	v
e	s	n	f	f	k	e	s	s	w	p	w	o	y
p	x	w	t	f	k	e	s	s	w	p	w	o	v
e	x	w	t	f	g	e	s	s	w	p	w	o	n
p	f	n	t	f	p	e	s	s	w	p	w	o	v
e	f	g	f	f	k	t	s	s	w	p	w	o	a
e	x	y	t	f	g	e	s	s	w	p	w	o	s
e	x	w	f	f	n	t	s	f	w	p	w	o	s
e	b	y	t	f	w	e	s	s	w	p	w	o	n
e	f	g	f	f	h	t	s	s	w	p	w	o	a
e	x	w	t	f	n	e	s	s	w	p	w	o	n
e	b	w	t	f	n	e	s	s	w	p	w	o	s
e	b	w	t	f	w	e	s	s	w	p	w	o	s
e	b	w	t	f	w	e	s	s	w	p	w	o	s
e	f	w	t	f	w	t	s	s	w	p	w	o	v
e	x	y	t	f	g	e	s	s	w	p	w	o	s
e	f	w	t	f	p	t	s	s	w	p	w	o	v
p	x	w	t	f	w	e	s	s	w	p	w	o	v
e	f	w	t	f	w	t	s	s	w	p	w	o	v
e	x	y	t	f	n	e	s	s	w	p	w	o	s
p	x	n	t	f	p	e	s	s	w	p	w	o	v
e	b	y	t	f	w	e	s	s	w	p	w	o	n
e	x	n	t	f	w	e	s	y	w	p	w	o	y
e	b	y	t	f	g	e	s	s	w	p	w	o	n
e	s	n	f	f	k	e	s	s	w	p	w	o	v
e	f	n	t	f	w	e	s	y	w	p	w	o	y
e	x	y	t	f	k	e	s	s	w	p	w	o	n
e	x	g	f	f	k	t	f	f	w	p	w	o	s
e	f	w	f	f	k	t	s	f	w	p	w	o	a
e	x	y	t	f	w	e	s	s	w	p	w	o	n
e	b	y	t	f	k	e	s	s	w	p	w	o	n
e	b	w	t	f	g	e	s	s	w	p	w	o	n
e	x	w	t	f	w	e	s	s	w	p	w	o	s
e	x	n	f	f	p	t	f	s	w	p	w	o	a
e	x	w	t	f	g	e	s	s	w	p	w	o	s
e	s	n	f	f	k	e	s	s	w	p	w	o	v
e	x	w	t	f	w	t	s	s	w	p	w	o	v
e	x	n	t	f	w	e	s	y	w	p	w	o	s
e	b	y	t	f	k	e	s	s	w	p	w	o	n
e	x	w	t	f	k	e	s	s	w	p	w	o	n
e	b	w	t	f	n	e	s	s	w	p	w	o	s
e	b	y	t	f	g	e	s	s	w	p	w	o	s
e	b	y	t	f	g	e	s	s	w	p	w	o	s
e	b	y	t	f	n	e	s	s	w	p	w	o	n
e	x	n	f	f	k	e	s	s	w	p	w	o	y
e	f	n	t	f	n	e	s	y	w	p	w	o	y
e	x	w	t	f	k	e	s	s	w	p	w	o	s
e	f	y	t	f	w	e	s	y	w	p	w	o	y
e	b	w	t	f	w	e	s	s	w	p	w	o	s
e	b	w	t	f	w	e	s	s	w	p	w	o	s
e	x	n	t	f	w	e	s	y	w	p	w	o	y
e	b	w	t	f	k	e	s	s	w	p	w	o	s
e	x	g	f	f	g	e	s	s	w	p	w	o	y
e	b	y	t	f	k	e	s	s	w	p	w	o	s
e	x	y	t	f	n	t	s	s	w	p	w	o	v
e	b	y	t	f	w	e	s	s	w	p	w	o	s
e	f	y	t	f	p	e	s	y	w	p	w	o	s
e	b	w	t	f	w	e	s	s	w	p	w	o	n
e	b	w	t	f	k	e	s	s	w	p	w	o	n
e	b	y	t	f	g	e	s	s	w	p	w	o	s
e	x	y	t	f	g	e	s	s	w	p	w	o	n
e	b	y	t	f	g	e	s	s	w	p	w	o	n
p	x	w	t	f	p	e	s	s	w	p	w	o	v
e	s	n	f	f	g	e	s	s	w	p	w	o	y
e	f	n	f	f	g	e	s	s	w	p	w	o	v
e	x	y	t	f	g	e	s	s	w	p	w	o	s
e	f	n	t	f	p	e	s	y	w	p	w	o	s
p	x	w	t	f	k	e	s	s	w	p	w	o	s
e	b	w	t	f	g	e	s	s	w	p	w	o	s
e	f	g	f	f	p	e	s	s	w	p	w	o	v
e	b	y	t	f	g	e	s	s	w	p	w	o	n
e	x	n	t	f	w	e	s	y	w	p	w	o	y
e	x	w	f	f	p	t	s	f	w	p	w	o	s
e	x	w	t	f	w	t	s	s	w	p	w	o	v
e	b	w	t	f	w	e	s	s	w	p	w	o	s
e	f	y	t	f	w	t	s	s	w	p	w	o	v
e	x	y	t	f	k	e	s	s	w	p	w	o	n
e	f	g	f	f	g	e	s	s	w	p	w	o	y
e	b	y	t	f	n	e	s	s	w	p	w	o	s
e	x	w	t	f	g	e	s	s	w	p	w	o	n
e	x	w	t	f	n	e	s	s	w	p	w	o	s
e	f	w	t	f	n	t	s	s	w	p	w	o	v
e	x	y	t	f	w	e	s	s	w	p	w	o	s
e	b	w	t	f	w	e	s	s	w	p	w	o	s
e	x	w	t	f	g	e	s	s	w	p	w	o	n
e	x	w	f	f	h	t	f	s	w	p	w	o	s
e	f	n	t	f	n	e	s	y	w	p	w	o	y
p	x	w	t	f	k	e	s	s	w	p	w	o	v
e	b	w	t	f	n	e	s	s	w	p	w	o	n
e	b	w	t	f	k	e	s	s	w	p	w	o	s
e	b	w	t	f	n	e	s	s	w	p	w	o	n
e	b	w	t	f	w	e	s	s	w	p	w	o	n
e	x	y	t	f	w	e	s	s	w	p	w	o	s
e	b	w	t	f	w	e	s	s	w	p	w	o	n
e	x	y	t	f	n	t	s	s	w	p	w	o	v
e	x	g	f	f	n	e	s	s	w	p	w	o	y
e	f	y	t	f	n	e	s	y	w	p	w	o	s
e	b	w	t	f	n	e	s	s	w	p	w	o	n
e	x	y	t	f	g	e	s	s	w	p	w	o	s
e	x	y	t	f	k	e	s	s	w	p	w	o	s
e	x	w	t	f	w	e	s	s	w	p	w	o	s
e	s	g	f	f	p	e	s	s	w	p	w	o	v
e	x	w	t	f	n	e	s	s	w	p	w	o	n
p	x	w	t	f	k	e	s	s	w	p	w	o	s
e	x	y	t	f	n	e	s	y	w	p	w	o	s
e	f	w	t	f	p	t	s	s	w	p	w	o	v
e	x	w	t	f	g	e	s	s	w	p	w	o	n
e	b	w	t	f	n	e	s	s	w	p	w	o	s
e	x	w	t	f	g	e	s	s	w	p	w	o	n
e	x	y	t	f	g	e	s	s	w	p	w	o	s
p	x	n	t	f	p	e	s	s	w	p	w	o	v
e	b	y	t	f	n	e	s	s	w	p	w	o	n
e	x	g	f	f	n	e	s	s	w	p	w	o	y
p	x	w	t	f	k	e	s	s	w	p	w	o	s
e	x	y	t	f	n	e	s	y	w	p	w	o	y
e	f	n	f	f	k	e	s	s	w	p	w	o	v
e	b	w	t	f	k	e	s	s	w	p	w	o	n
e	x	w	t	f	w	t	s	s	w	p	w	o	v
e	x	w	t	f	w	e	s	s	w	p	w	o	s
e	b	y	t	f	n	e	s	s	w	p	w	o	s
e	x	y	t	f	n	e	s	y	w	p	w	o	s
e	f	y	t	f	p	e	s	y	w	p	w	o	s
e	f	y	t	f	w	e	s	y	w	p	w	o	y
e	x	w	t	f	w	e	s	s	w	p	w	o	s
e	x	w	t	f	w	e	s	s	w	p	w	o	n
p	x	w	t	f	n	e	s	s	w	p	w	o	v
e	f	w	t	f	p	t	s	s	w	p	w	o	v
e	x	w	t	f	w	e	s	s	w	p	w	o	s
e	x	w	t	f	p	t	s	s	w	p	w	o	v
e	x	w	t	f	n	e	s	s	w	p	w	o	s
e	f	y	t	f	w	e	s	y	w	p	w	o	y
e	x	n	f	f	p	t	f	s	w	p	w	o	s
e	f	y	t	f	w	e	s	y	w	p	w	o	y
p	x	n	t	f	p	e	s	s	w	p	w	o	s
e	s	n	f	f	g	e	s	s	w	p	w	o	v
e	b	y	t	f	w	e	s	s	w	p	w	o	s
e	b	w	t	f	n	e	s	s	w	p	w	o	s
e	b	w	t	f	k	e	s	s	w	p	w	o	n
e	f	n	f	f	k	e	s	s	w	p	w	o	v
e	x	w	t	f	w	e	s	s	w	p	w	o	n
e	b	w	t	f	g	e	s	s	w	p	w	o	n
e	b	w	t	f	g	e	s	s	w	p	w	o	n
e	f	n	t	f	w	e	s	y	w	p	w	o	s
p	x	w	t	f	k	e	s	s	w	p	w	o	v
e	x	w	t	f	n	e	s	s	w	p	w	o	n
e	x	w	t	f	n	e	s	s	w	p	w	o	s
e	f	w	t	f	w	t	s	s	w	p	w	o	v
e	f	g	f	f	g	e	s	s	w	p	w	o	v
e	f	g	f	f	p	t	s	s	w	p	w	o	a
e	x	y	t	f	g	e	s	s	w	p	w	o	s
e	b	w	t	f	k	e	s	s	w	p	w	o	s
p	f	n	t	f	w	e	s	s	w	p	w	o	s
e	x	w	t	f	n	e	s	s	w	p	w	o	n
p	f	n	t	f	w	e	s	s	w	p	w	o	v
e	x	w	t	f	k	e	s	s	w	p	w	o	s
e	x	y	t	f	k	e	s	s	w	p	w	o	n
e	f	y	t	f	n	e	s	y	w	p	w	o	s
e	x	n	t	f	w	e	s	y	w	p	w	o	s
e	f	n	t	f	w	e	s	y	w	p	w	o	y
e	x	w	t	f	w	e	s	s	w	p	w	o	n
e	f	n	f	f	h	t	s	s	w	p	w	o	s
e	x	y	t	f	k	e	s	s	w	p	w	o	n
p	x	w	t	f	w	e	s	s	w	p	w	o	s
e	b	y	t	f	n	e	s	s	w	p	w	o	n
e	s	n	f	f	p	e	s	s	w	p	w	o	v
e	x	y	t	f	k	e	s	s	w	p	w	o	s
e	b	w	t	f	n	e	s	s	w	p	w	o	n
e	f	n	t	f	n	e	s	y	w	p	w	o	s
e	b	y	t	f	g	e	s	s	w	p	w	o	s
e	b	w	t	f	g	e	s	s	w	p	w	o	s
e	x	n	t	f	n	e	s	y	w	p	w	o	y
e	f	g	f	f	p	e	s	s	w	p	w	o	y
e	x	g	f	f	g	e	s	s	w	p	w	o	y
e	b	y	t	f	n	e	s	s	w	p	w	o	s
e	x	y	t	f	n	e	s	s	w	p	w	o	s
e	b	w	t	f	k	e	s	s	w	p	w	o	s
e	x	w	t	f	g	e	s	s	w	p	w	o	s
e	b	y	t	f	g	e	s	s	w	p	w	o	n
e	x	y	t	f	k	e	s	s	w	p	w	o	s
e	x	g	f	f	p	t	f	f	w	p	w	o	s
e	f	y	t	f	p	t	s	s	w	p	w	o	v
p	x	w	t	f	p	e	s	s	w	p	w	o	s
e	x	w	f	f	k	t	f	s	w	p	w	o	a
e	b	w	t	f	w	e	s	s	w	p	w	o	s
e	x	y	t	f	w	t	s	s	w	p	w	o	v
e	b	w	t	f	n	e	s	s	w	p	w	o	s
e	x	w	t	f	g	e	s	s	w	p	w	o	s
e	x	n	t	f	p	t	s	s	g	p	w	o	y
e	b	w	t	f	k	e	s	s	w	p	w	o	s
e	x	y	t	f	g	e	s	s	w	p	w	o	n
e	f	n	t	f	p	e	s	y	w	p	w	o	y
e	x	w	f	f	n	t	s	s	w	p	w	o	s
e	x	y	t	f	w	e	s	s	w	p	w	o	s
p	x	w	t	f	n	e	s	s	w	p	w	o	v
e	x	y	t	f	n	e	s	s	w	p	w	o	s
e	x	w	t	f	p	t	s	s	w	p	w	o	v
e	b	y	t	f	g	e	s	s	w	p	w	o	n
p	x	w	t	f	k	e	s	s	w	p	w	o	v
e	x	y	t	f	w	t	s	s	w	p	w	o	v
e	x	w	t	f	k	e	s	s	w	p	w	o	n
e	x	w	t	f	n	t	s	s	w	p	w	o	v
e	f	w	t	f	w	t	s	s	w	p	w	o	v
e	x	y	t	f	k	e	s	s	w	p	w	o	s
e	f	y	t	f	w	t	s	s	w	p	w	o	v
e	x	w	t	f	w	e	s	s	w	p	w	o	s
e	b	y	t	f	n	e	s	s	w	p	w	o	s
e	x	n	t	f	p	e	s	y	w	p	w	o	s
e	b	w	t	f	k	e	s	s	w	p	w	o	n
e	x	y	t	f	n	e	s	s	w	p	w	o	s
p	x	n	t	f	n	e	s	s	w	p	w	o	v
e	b	y	t	f	w	e	s	s	w	p	w	o	n
e	b	w	t	f	g	e	s	s	w	p	w	o	n
p	x	n	t	f	w	e	s	s	w	p	w	o	v
e	b	w	t	f	n	e	s	s	w	p	w	o	s
e	b	y	t	f	w	e	s	s	w	p	w	o	n
e	b	y	t	f	n	e	s	s	w	p	w	o	s
e	x	w	t	f	g	e	s	s	w	p	w	o	n
e	x	n	t	f	p	t	s	s	p	p	w	o	y
e	x	n	t	f	w	e	s	y	w	p	w	o	y
e	b	y	t	f	n	e	s	s	w	p	w	o	s
e	x	g	f	f	g	e	s	s	w	p	w	o	v
e	x	n	t	f	n	e	s	y	w	p	w	o	y
e	x	w	t	f	k	e	s	s	w	p	w	o	s
e	b	w	t	f	n	e	s	s	w	p	w	o	n
e	x	y	t	f	g	e	s	s	w	p	w	o	s
e	f	y	t	f	p	t	s	s	w	p	w	o	v
e	b	y	t	f	g	e	s	s	w	p	w	o	s
e	x	n	f	f	n	t	s	f	w	p	w	o	a
e	x	y	t	f	n	t	s	s	w	p	w	o	v
e	x	y	t	f	n	e	s	s	w	p	w	o	n
e	f	g	f	f	n	t	s	f	w	p	w	o	s
e	x	n	f	f	g	e	s	s	w	p	w	o	y
e	f	g	f	f	h	t	f	f	w	p	w	o	a
e	f	n	t	f	p	e	s	y	w	p	w	o	s
e	b	w	t	f	k	e	s	s	w	p	w	o	s
e	b	y	t	f	k	e	s	s	w	p	w	o	s
e	x	y	t	f	w	e	s	y	w	p	w	o	s
e	s	g	f	f	g	e	s	s	w	p	w	o	v
e	f	n	t	f	p	e	s	y	w	p	w	o	y
p	x	n	t	f	k	e	s	s	w	p	w	o	s
e	x	y	t	f	p	e	s	y	w	p	w	o	y
e	x	y	t	f	w	e	s	s	w	p	w	o	s
e	x	n	f	f	h	t	s	f	w	p	w	o	s
e	x	n	f	f	p	t	f	f	w	p	w	o	a
e	f	n	f	f	k	t	f	s	w	p	w	o	a
e	f	n	t	f	n	e	s	y	w	p	w	o	s
e	x	y	t	f	w	e	s	s	w	p	w	o	n
e	f	n	f	f	p	e	s	s	w	p	w	o	v
e	x	y	t	f	w	e	s	y	w	p	w	o	s
e	x	y	t	f	p	t	s	s	w	p	w	o	v
e	b	y	t	f	g	e	s	s	w	p	w	o	n
e	x	g	f	f	n	t	s	s	w	p	w	o	s
e	x	y	t	f	w	e	s	y	w	p	w	o	s
e	f	n	t	f	n	e	s	y	w	p	w	o	y
e	x	y	t	f	w	e	s	s	w	p	w	o	s
e	s	n	f	f	n	e	s	s	w	p	w	o	y
e	x	w	t	f	k	e	s	s	w	p	w	o	s
e	b	w	t	f	n	e	s	s	w	p	w	o	n
e	s	n	f	f	k	e	s	s	w	p	w	o	y
e	b	y	t	f	n	e	s	s	w	p	w	o	n
e	x	y	t	f	k	e	s	s	w	p	w	o	n
e	b	y	t	f	k	e	s	s	w	p	w	o	s
p	x	n	t	f	p	e	s	s	w	p	w	o	s
e	x	w	f	f	k	t	f	s	w	p	w	o	s
e	x	w	t	f	w	e	s	s	w	p	w	o	s
e	b	w	t	f	g	e	s	s	w	p	w	o	n
e	x	n	t	f	n	t	s	s	g	p	w	o	y
p	x	n	t	f	w	e	s	s	w	p	w	o	s
e	x	n	t	f	w	e	s	y	w	p	w	o	y
e	x	n	f	f	n	t	s	s	w	p	w	o	a
e	b	y	t	f	n	e	s	s	w	p	w	o	n
e	x	y	t	f	w	e	s	s	w	p	w	o	n
e	b	y	t	f	n	e	s	s	w	p	w	o	s
e	x	y	t	f	g	e	s	s	w	p	w	o	n
e	b	w	t	f	n	e	s	s	w	p	w	o	n
e	x	g	f	f	k	e	s	s	w	p	w	o	v
e	f	n	t	f	w	e	s	y	w	p	w	o	s
e	x	g	f	f	h	t	f	f	w	p	w	o	a
e	x	w	t	f	k	e	s	s	w	p	w	o	n
e	x	y	t	f	w	e	s	s	w	p	w	o	s
e	x	g	f	f	n	e	s	s	w	p	w	o	v
p	x	n	t	f	p	e	s	s	w	p	w	o	s
e	b	w	t	f	w	e	s	s	w	p	w	o	n
e	b	w	t	f	n	e	s	s	w	p	w	o	n
p	x	n	t	f	p	e	s	s	w	p	w	o	v
e	b	y	t	f	w	e	s	s	w	p	w	o	s
e	x	w	t	f	k	e	s	s	w	p	w	o	s
e	x	y	t	f	n	e	s	s	w	p	w	o	s
e	b	y	t	f	n	e	s	s	w	p	w	o	n
e	x	w	t	f	g	e	s	s	w	p	w	o	s
e	x	w	t	f	g	e	s	s	w	p	w	o	s
e	x	n	t	f	w	e	s	y	w	p	w	o	y
e	x	w	t	f	w	e	s	s	w	p	w	o	s
e	x	n	f	f	n	t	f	f	w	p	w	o	s
e	x	n	t	f	n	e	s	y	w	p	w	o	s
e	x	y	t	f	n	e	s	y	w	p	w	o	y
p	x	n	t	f	k	e	s	s	w	p	w	o	v
e	b	y	t	f	w	e	s	s	w	p	w	o	n
e	x	w	t	f	p	t	s	s	w	p	w	o	v
p	x	n	t	f	w	e	s	s	w	p	w	o	s
e	x	y	t	f	k	e	s	s	w	p	w	o	n
e	f	g	f	f	h	t	f	f	w	p	w	o	a
e	x	w	t	f	n	e	s	s	w	p	w	o	s
e	b	w	t	f	w	e	s	s	w	p	w	o	s
p	x	n	t	f	p	e	s	s	w	p	w	o	s
e	f	n	t	f	w	e	s	y	w	p	w	o	s
e	x	w	t	f	n	e	s	s	w	p	w	o	n
e	x	w	t	f	n	t	s	s	w	p	w	o	v
e	f	n	t	f	n	e	s	y	w	p	w	o	y
e	b	w	t	f	k	e	s	s	w	p	w	o	n
e	x	w	f	f	p	t	f	f	w	p	w	o	a
e	f	g	f	f	n	e	s	s	w	p	w	o	v
e	x	w	t	f	g	e	s	s	w	p	w	o	s
e	x	y	t	f	n	e	s	y	w	p	w	o	y
e	b	y	t	f	g	e	s	s	w	p	w	o	s
e	b	y	t	f	w	e	s	s	w	p	w	o	s
e	f	w	t	f	n	t	s	s	w	p	w	o	v
e	b	w	t	f	w	e	s	s	w	p	w	o	n
e	x	y	t	f	n	t	s	s	w	p	w	o	v
e	x	w	t	f	g	e	s	s	w	p	w	o	n
e	b	y	t	f	k	e	s	s	w	p	w	o	n
e	x	n	t	f	p	e	s	y	w	p	w	o	y
e	x	w	t	f	n	e	s	s	w	p	w	o	s
e	x	w	t	f	g	e	s	s	w	p	w	o	s
e	x	y	t	f	p	e	s	y	w	p	w	o	y
e	x	w	t	f	n	e	s	s	w	p	w	o	n
e	x	y	t	f	w	e	s	s	w	p	w	o	n
e	x	n	t	f	p	e	s	y	w	p	w	o	s
e	x	w	t	f	n	e	s	s	w	p	w	o	n
e	f	n	t	f	n	e	s	y	w	p	w	o	s
e	b	w	t	f	w	e	s	s	w	p	w	o	s
e	x	n	t	f	n	t	s	s	g	p	w	o	y
e	x	w	t	f	k	e	s	s	w	p	w	o	s
e	b	w	t	f	g	e	s	s	w	p	w	o	n
e	b	y	t	f	g	e	s	s	w	p	w	o	n
e	x	y	t	f	p	t	s	s	w	p	w	o	v
e	b	w	t	f	g	e	s	s	w	p	w	o	n
e	x	g	f	f	h	t	s	f	w	p	w	o	a
e	b	w	t	f	k	e	s	s	w	p	w	o	n
e	b	y	t	f	w	e	s	s	w	p	w	o	s
e	f	y	t	f	n	e	s	y	w	p	w	o	y
e	f	n	t	f	w	e	s	y	w	p	w	o	y
e	x	w	t	f	k	e	s	s	w	p	w	o	s
e	f	y	t	f	n	e	s	y	w	p	w	o	s
e	b	w	t	f	g	e	s	s	w	p	w	o	s
e	x	y	t	f	w	e	s	s	w	p	w	o	n
e	x	n	f	f	k	e	s	s	w	p	w	o	v
e	f	n	t	f	p	e	s	y	w	p	w	o	y
e	x	w	t	f	g	e	s	s	w	p	w	o	n
e	x	y	t	f	g	e	s	s	w	p	w	o	n
e	b	y	t	f	g	e	s	s	w	p	w	o	n
e	f	y	t	f	w	e	s	y	w	p	w	o	s
e	x	y	t	f	g	e	s	s	w	p	w	o	n
e	x	w	t	f	w	e	s	s	w	p	w	o	n
e	f	w	t	f	n	t	s	s	w	p	w	o	v
e	s	g	f	f	k	e	s	s	w	p	w	o	y
e	f	y	t	f	n	t	s	s	w	p	w	o	v
e	f	g	f	f	k	e	s	s	w	p	w	o	y
e	x	n	f	f	p	e	s	s	w	p	w	o	y
e	b	w	t	f	w	e	s	s	w	p	w	o	n
e	x	w	t	f	p	t	s	s	w	p	w	o	v
e	b	y	t	f	n	e	s	s	w	p	w	o	s
e	b	y	t	f	k	e	s	s	w	p	w	o	s
e	b	y	t	f	g	e	s	s	w	p	w	o	s
e	f	w	t	f	p	t	s	s	w	p	w	o	v
e	f	g	f	f	g	e	s	s	w	p	w	o	y
e	f	w	t	f	w	t	s	s	w	p	w	o	v
e	f	y	t	f	p	e	s	y	w	p	w	o	y
e	x	w	t	f	w	e	s	s	w	p	w	o	s
e	s	n	f	f	p	e	s	s	w	p	w	o	y
e	x	n	t	f	n	e	s	y	w	p	w	o	s
e	x	n	t	f	n	e	s	y	w	p	w	o	s
e	f	y	t	f	n	t	s	s	w	p	w	o	v
p	f	n	t	f	p	e	s	s	w	p	w	o	s
p	x	n	t	f	k	e	s	s	w	p	w	o	v
