CITIES;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
LANSING, MI;36;44;49;52;61;65;69;64;59;50;31;29
LAS VEGAS, NV;77;81;83;87;88;93;88;88;91;87;81;78
LIHUE, HI;55;57;56;55;61;63;62;65;67;59;49;49
LINCOLN, NE;58;57;57;58;61;69;73;70;66;63;53;52
LITTLE ROCK, AR;46;54;57;62;68;73;71;73;68;69;56;48
LOS ANGELES C.O., CA;69;72;73;70;66;65;82;83;79;73;74;71
LOUISVILLE, KY;41;48;51;56;60;66;67;66;64;61;46;40
LUBBOCK, TX;65;66;73;74;71;76;77;76;71;75;69;65
LYNCHBURG, VA;52;56;58;62;62;65;62;62;61;62;56;53
MACON, GA;56;61;65;73;71;70;67;71;67;69;64;57
MADISON, WI;47;51;52;52;58;64;67;64;60;54;39;40
MAJURO, PC;61;64;66;59;58;55;56;61;59;55;53;53
MARQUETTE, MI;34;40;48;50;60;63;65;61;53;44;34;33
MEMPHIS, TN;50;54;56;64;69;74;74;75;69;70;58;50
MIAMI, FL;66;68;74;76;72;68;72;71;70;70;67;63
MIDLAND-ODESSA, TX;66;69;73;78;78;81;81;77;77;73;74;65
MILFORD, UT;58;64;63;69;73;82;77;79;80;76;62;60
MILWAUKEE, WI;44;47;50;53;60;65;69;66;59;54;39;38
MINNEAPOLIS-ST.PAUL, MN;53;59;57;58;61;66;72;69;62;55;39;42
MISSOULA, MT;33;44;54;57;59;63;81;77;69;55;34;29
MOLINE, IL;48;50;50;53;57;63;68;66;62;58;42;40
MONTGOMERY, AL;47;52;59;65;63;62;61;63;62;64;55;49
MT. WASHINGTON, NH;32;35;34;34;36;32;30;31;35;38;29;30
NASHVILLE, TN;41;47;52;59;60;65;63;63;62;62;50;42
NEW ORLEANS, LA;46;50;56;62;62;63;58;61;61;64;54;48
NEW YORK C.PARK, NY;51;55;57;58;61;64;65;64;62;61;52;49
NOME, AK;40;55;54;54;50;43;37;32;36;34;31;34
NORFOLK, VA;53;56;60;63;62;67;62;62;61;59;56;54
NORTH LITTLE ROCK, AR;61;62;72;77;74;81;82;79;81;75;62;57
NORTH PLATTE, NE;63;62;62;64;65;71;77;75;72;70;60;61
OKLAHOMA CITY, OK;60;60;65;68;66;75;79;79;72;70;61;58
OMAHA (NORTH), NE;55;53;54;58;61;67;74;70;68;65;51;48
PADUCAH, KY;44;47;54;61;64;60;70;71;63;65;50;42
PAGO PAGO, PC;44;45;45;39;34;34;40;43;51;42;46;44
PENSACOLA, FL;48;53;61;63;67;67;57;58;60;71;64;49
PEORIA, IL;47;50;51;55;60;67;69;67;64;61;43;42
PHILADELPHIA, PA;49;53;55;56;57;62;61;62;59;60;52;49
PHOENIX, AZ;78;80;84;89;93;94;85;85;89;88;83;77
PITTSBURGH, PA;32;36;43;46;50;55;57;56;55;51;36;28
POCATELLO, ID;40;53;61;66;67;75;83;81;80;72;47;40
POHNPEI, PC;38;41;45;42;41;40;44;44;44;40;39;36
PORT ARTHUR, TX;42;52;52;52;64;69;65;63;62;67;57;47
PORTLAND, ME;56;59;56;54;54;59;63;63;62;58;48;53
PROVIDENCE, RI;56;58;58;57;58;61;63;62;62;61;50;52
PUEBLO, CO;75;74;74;74;73;78;79;78;80;79;72;71
QUILLAYUTE, WA;22;30;34;35;37;35;43;44;47;34;21;19
RALEIGH, NC;52;56;60;63;59;60;60;58;58;60;57;53
RAPID CITY, SD;57;60;63;62;60;65;73;74;70;66;55;55
REDDING, CA;72;82;85;90;91;94;97;97;94;92;84;73
RENO, NV;65;68;75;80;81;85;92;92;91;83;70;64
RICHMOND, VA;54;58;62;66;66;70;68;66;65;63;59;54
ROCHESTER, MN;35;41;49;53;59;66;69;66;59;49;31;30
ROSWELL, NM;60;68;75;77;80;83;77;73;72;77;73;71
SACRAMENTO, CA;48;65;74;82;90;94;97;96;93;86;66;49
SALT LAKE CITY, UT;45;54;64;68;72;80;83;82;82;72;53;42
SAN ANTONIO, TX;47;50;57;56;56;67;74;74;67;64;54;48
SAN DIEGO, CA;72;71;70;68;59;58;68;70;69;68;75;73
SAN FRANCISCO C.O., CA;56;62;69;73;72;73;66;65;72;70;62;53
SAN JUAN, PR;69;70;76;72;64;65;69;68;62;64;60;61
SAULT STE. MARIE, MI;36;47;55;54;57;58;62;58;45;38;24;27
SAVANNAH, GA;54;57;62;71;68;65;64;62;58;63;61;55
SEATTLE C.O., WA;28;34;42;47;52;49;63;56;53;37;28;23
SEATTLE SEA-TAC AP, WA;28;40;50;52;56;56;65;65;62;43;28;23
SHERIDAN, WY;57;60;63;60;60;65;75;75;68;62;53;55
SHREVEPORT, LA;51;57;58;60;63;71;75;74;70;70;60;54
SIOUX CITY, IA;57;56;57;59;61;67;73;70;66;63;51;50
SPOKANE, WA;28;41;55;61;65;67;80;78;72;55;29;23
SPRINGFIELD, IL;48;52;51;56;63;68;71;70;68;63;48;44
ST. LOUIS, MO;50;52;54;56;59;66;68;65;63;60;46;43
SYRACUSE, NY;33;39;46;49;55;59;63;59;53;44;26;25
TAMPA, FL;63;65;71;75;75;67;62;61;61;65;64;61
TOLEDO, OH;41;46;50;52;60;64;65;63;61;54;37;33
TOPEKA, KS;56;55;57;58;61;66;71;70;66;64;54;52
TUCSON, AZ;80;82;86;90;92;93;78;80;87;88;84;79
TULSA, OK;53;56;58;60;60;66;74;73;66;64;56;53
TUPELO, MS;53;53;61;73;72;74;75;73;72;62;51;46
VALENTINE, NE;63;62;59;59;62;69;76;76;71;68;60;60
WAKE ISLAND, PC;68;71;76;75;75;76;72;68;68;68;65;64
WASHINGTON NAT'L AP, D.C.;46;50;55;57;58;64;62;62;61;59;51;46
WICHITA, KS;58;61;62;63;64;69;76;75;68;65;58;57
WILLISTON, ND;51;57;61;60;62;66;74;74;67;59;45;50
WILMINGTON, NC;56;59;64;70;67;66;64;62;61;64;63;59
WINNEMUCCA, NV;51;56;60;66;72;77;86;85;82;74;54;52
YAP, PC;60;62;68;68;65;52;47;46;50;47;52;49
YUMA, AZ;84;87;90;94;95;97;91;91;93;92;87;82
