CITIES;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
BUFFALO, NY;24,5;25,9;34,3;45,3;57;65,8;70,8;69,1;61,5;50,7;40,2;29,8
BURLINGTON, VT;18;19,9;30,7;43,5;56,5;65,6;70,6;68,2;59,4;47,7;37,1;24,8
BURNS,OR;24,4;30;37;43;50,9;58,1;65,9;64,2;55;44,4;32,7;24,9
CAPE HATTERAS, NC;46,1;46,8;52,4;59,8;67,6;74,8;79,2;78,6;74,8;65,7;57,6;50
CARIBOU, ME;9,5;13;24,6;38,1;51,6;60,8;65,6;63,4;53,8;42,8;30,6;16,4
CASPER, WY;22,3;26,7;35;42,7;52,1;62,7;70;68,6;57,6;45,7;32;23,8
CHARLESTON AP,SC;47,9;50,7;57,7;64,2;72,1;78,2;81,7;80,5;76,1;66,2;58;50,5
CHARLESTON C.O.,SC;49,8;52,4;58,7;65,9;73,5;79,4;82,8;81,6;77,6;68,5;60,5;52,8
CHARLESTON, WV;33,4;36,9;45,3;54,3;62,4;69,9;73,9;72,6;66,2;55,1;45,9;37,5
CHARLOTTE, NC;41,7;45,2;52,8;60,9;69;76,5;80,3;78,9;72,7;61,7;52,3;44,4
CHATTANOOGA, TN;39,4;43,4;51,4;59,6;67,7;75,4;79,6;78,5;72,1;60,4;50,3;42,4
CHEYENNE, WY;25,9;28,8;34,2;41,6;51,3;61,5;67,7;65,9;56,6;45,4;33,3;27,1
CHICAGO,IL;22;27;37,3;47,8;58,7;68,2;73,3;71,7;63,8;52,1;39,3;27,4
CHUUK, PC;81,5;81,3;81,6;81,8;81,9;81,6;81,4;80,9;81,3;81,4;82,1;81,5
CLAYTON, NM;33,9;37,6;43,7;51,7;60,5;69,9;73,8;72,2;64,7;54,6;42,2;34,8
CLEVELAND, OH;25,7;28,4;37,5;47,6;58,5;67,5;71,9;70,2;63,3;52,2;41,8;31,1
COLD BAY,AK;28,2;27,6;30;33,5;39,8;45,9;50,6;51,8;47,8;40;34,5;31
COLORADO SPRINGS, CO;28,1;31,7;37,8;45,3;54,6;64,4;69,6;67,6;59,8;48,9;36,2;29
COLUMBIA, MO;27,8;33,7;44;54,4;63,7;72,7;77,4;75,7;67,3;56;43,2;32
COLUMBUS, GA;46,8;50,3;57,6;64,2;72,3;79,2;82;81,3;76,2;65,8;56,7;49,1
CONCORD, NH;20,1;23,3;33,3;44,6;56;64,9;70;68,2;59,4;47,8;37,6;25,9
CONCORDIA, KS;26,6;32,4;42,5;52,8;63;73,4;79,1;77;68;56;40,8;30,2
CORPUS CHRISTI, TX;56,1;59,5;66;71,5;77,5;81,9;83,8;83,9;80,8;73,8;65,1;58,1
DALLAS-FORT WORTH, TX;44,1;49,4;57,4;65;73,1;80,9;85;84,4;77,5;67,2;55,1;46,7
DALLAS-LOVE FIELD, TX;45,9;51;58,8;66,3;74,4;82,2;86,5;86,1;78,9;68,4;56,4;48
DAYTON, OH;26,3;30,3;40,2;50,6;61,2;70,2;74,3;72,3;65,1;53,5;42,2;31,4
DAYTONA BEACH, FL;58,4;60;64,7;68,9;74,8;79,7;81,7;81,5;79,9;74;67;60,8
DEL RIO, TX;51,3;56,1;63,8;70,6;77,7;82,9;85,3;85,1;80;71,1;60,1;52,4
DENVER, CO;29,2;33,2;39,6;47,6;57,2;67,6;73,4;71,7;62,4;51;37,5;30,3
DES MOINES, IA;20,4;26,6;38,4;50,6;61,9;71,4;76,1;73,9;65,1;52,8;37,9;24,9
DETROIT, MI;24,5;27,2;36,9;48,1;59,8;69;73,5;71,8;63,9;51,9;40,7;29,6
DODGE CITY, KS;30,1;36;44,3;53,9;63,8;74,3;79,8;78,2;69,3;57,1;42,4;33,1
DUBUQUE,IA;17;23,1;34,8;47,5;59,1;68,3;72,3;70;61,8;50,4;35,7;22,5
DULUTH, MN;8,4;14,8;25,4;39;51,8;59,9;65,5;63,7;54,7;43,5;28;14
EL PASO, TX;45,1;50,5;57;64,6;73,7;82,1;83,3;81,1;75,4;64,9;52,7;45,4
ELKINS, WV;28,6;31,6;40;48,9;57,9;65,6;69,6;68,5;62,1;50,6;41;32,7
ELKO, NV;25,6;31,3;38,6;44,6;52,7;61,7;69,1;67,6;58,2;46,7;34,5;26
ELY, NV;25,2;29,8;35,9;42,2;50,4;59,9;67,4;65,8;56,7;45,4;33,5;25,8
ERIE, PA.;26,9;28,2;36,5;46,8;58,1;67,4;72,1;70,9;64;53,3;42,9;32,7
EUGENE, OR;39,8;42,8;46,3;49,8;54,8;60,2;66,2;66,4;61,7;52,6;44,7;39,5
EUREKA, CA.;47,9;48,9;49,2;50,7;53,6;56,3;58,1;58,7;57,4;54,5;51;47,9
EVANSVILLE, IN;31;35,8;45,8;55,5;65,6;74,8;78,6;76,5;69,1;57,3;45,9;35,6
FAIRBANKS, AK;-9,7;-3,8;11,1;31,7;48,8;59,7;62,4;56,2;44,5;23,5;2,3;-5,9
FARGO, ND;6,8;14,1;27,2;43,5;57,4;66;70,6;69;58;45,3;27;12,5
FLAGSTAFF, AZ;29,7;32,2;36,6;42,9;50,8;60,1;66,1;64,4;57,8;47,1;36,5;30,2
FLINT, MI;21,3;23,8;33,7;45,4;57,1;66,2;70,6;68,5;60,7;49,2;38,1;26,7
FORT MYERS, FL;64,9;66;69,9;73,6;78,8;82,2;83;83,1;82,1;77,5;71,7;66,4
FORT SMITH, AR;38;43,7;52,6;61,1;69,5;77,5;82,2;81,5;73,9;62,8;50,5;41
FORT WAYNE, IN;23,6;27,3;38,1;49;60,4;69,7;73,4;71,1;64,1;52,4;40,6;29
FRESNO, CA;46;51,4;55,5;61,2;68,8;76,1;81,4;79,9;74,6;65;52,7;45,2
GAINESVILLE, FL;54,3;57;62,5;67,6;74,3;79,2;80,9;80,4;77,8;70,1;62,8;56,3
GALVESTON, TX;55,8;58;64,1;70;76,9;82,2;84,3;84,4;81,1;74,1;65,4;58,1
GLASGOW, MT;10,8;19,1;30,9;44,5;55,5;64,4;70,2;69,5;57,3;45;27,9;15,6
GOODLAND, KS;27,6;32,4;39,8;48,8;58,7;69,6;75,1;73,2;64;51,8;37,4;29,6
GRAND FORKS, ND;5,3;13,1;25,7;42,3;56,8;65,2;69,4;67,8;57;44,3;25,8;11,3
GRAND ISLAND, NE;22,4;28,2;38,3;49,9;60,6;71,1;75,8;73,6;64,4;52;36,4;25,6
GRAND JUNCTION, CO;26,1;34,1;43,4;50,9;60,5;71,1;76,8;74,7;65,4;52,7;38,1;28,2
GRAND RAPIDS, MI;22,4;25;34,6;46,3;58,1;67,1;71,4;69,4;61,3;49,9;38,4;27,6
GREAT FALLS, MT;21,7;26,4;33,4;42,6;51,5;60;66,2;65,6;55,4;45,5;32,3;24,3
GREEN BAY, WI;15,6;20,5;31,3;44,2;56,4;65,4;69,9;67,5;58,8;47,4;34;21,2
GREENSBORO-WNSTN-SALM-HGHPT,NC;37,7;41,2;49,1;57,6;65,8;73,6;77,9;76,2;69,8;58,5;49,2;41
GREENVILLE-SPARTANBURG AP, SC;40,8;44,4;51,6;59;67,2;74,7;78,8;77,5;71,4;60,5;51,1;43,5
GUAM, PC;77,6;77,6;78,4;79,5;80,3;80,5;79,8;79,5;79,7;79,5;79,6;78,9
GULKANA,AK;-4,7;3,2;15,3;31,1;43,9;53,1;57;53,1;43,1;26,4;5,5;-1,6
HARRISBURG, PA;30,3;32,8;41,7;52,1;62;70,7;75,9;74;66,2;54,5;44,3;34,8
HARTFORD, CT;25,7;28,8;38;48,9;59,9;68,5;73,7;71,6;63,2;51,9;41,8;30,8
HAVRE, TX;14,6;21,9;32,5;44,3;54,5;62,7;68,3;67,6;56,3;44,6;29,1;19
HELENA, MT;20,2;26,4;35,1;44,1;52,9;61,2;67,8;66,7;56,1;44,8;30,9;21,4
HILO, HI;71,4;71,5;72;72,5;73,7;75,1;75,9;76,3;76,2;75,6;74;72,2
HOMER, AK;23,4;24,9;29,4;36,4;43,7;50;54,1;53,8;47,9;37,8;29,4;25,8
HONOLULU,HI;73;73;74,3;75,6;77,2;79,5;80,8;81,8;81,5;80,2;77,7;74,8
HOUGHTON LAKE, MI;17,8;19,9;29,3;41,8;53,9;62,2;66,7;64,6;56,8;46,1;34,8;23,7
HOUSTON, TX;51,8;55,4;62,3;68,5;75,8;81,3;83,6;83,3;78,9;70,4;60,9;53,7
HUNTINGTON, WV;32,7;36,8;45,9;55,2;63,6;71,3;75,3;73,9;66,9;55,6;45,9;37,1
HUNTSVILLE, AL;39,8;44,3;52,3;60,4;68,6;76;79,5;78,6;72,4;61,3;51,2;43,1
HURON, SD;14,2;21;32,6;46,1;58,2;67,9;73,4;71,5;61;47,9;31,3;18,6
INDIANAPOLIS, IN;26,5;31,2;41,7;52;62,6;71,7;75,4;73,5;66,3;54,6;42,9;31,6
INTERNATIONAL FALLS, MN;2,7;10,9;23,6;39,3;53,3;61,6;66,1;63,8;53,2;41,6;24,4;8,5
ISLIP, NY;30,9;32,4;39,8;49,1;59,2;68,5;74,6;73,1;65,8;54,3;44,9;35,7
JACKSON, KY;33,9;37,9;47,1;56,3;64,1;71,4;75;73,8;67,9;57,5;47,7;38,3
JACKSON, MS;45;49,2;56,8;63,4;71,5;78,5;81,4;80,9;75,5;64,4;54,8;47,6
JACKSONVILLE, FL;53,1;55,8;61,6;66,6;73,4;79,1;81,6;80,8;77,8;69,4;61,7;55
JOHNSTON ISLAND, PC;77,5;77,7;77,9;78,7;79,8;81,2;82;82,6;82,5;81,9;79,9;78,3
JUNEAU, AK;25,7;28,9;33,7;40,8;47,9;53,9;56,8;55,7;50;42,3;33,3;28,7
KAHULUI, HI;71,8;71,9;73,1;74,2;75,7;77,6;78,8;79,5;79,1;78,1;76;73,4
KALISPELL, MT;21,4;26,8;34,9;43,4;51,3;57,7;63,5;63,2;53,1;41,9;30,9;23,1
KANSAS CITY, MO;26,9;33;43,8;54,4;64,3;73,6;78,5;76,6;68,1;56,8;42,7;31,3
KEY WEST, FL;70,3;70,8;73,8;77;80,7;83,4;84,5;84,4;83,4;80,2;76,3;72
KING SALMON, AK;15,4;15,6;23,5;33,1;43,5;50,9;55,7;54,8;47,6;33,3;23,2;17,2
KNOXVILLE, TN;37,6;41,8;49,7;57,8;66;73,8;77,7;76,9;70,8;58,8;49;40,9
KODIAK, AK;29,7;29,9;32,6;37,3;43,5;49,2;54,1;55;49,4;40,3;34;30,6
KOROR, PC;81,4;81,2;81,8;82,3;82,6;81,8;81,4;81,6;82;82,1;82,5;82
KOTZEBUE, AK;-2,5;-3,5;-0,3;11,5;31,6;44,8;54,7;52,1;41,8;23,2;8,3;-0,2
KWAJALEIN, PC;81,6;81,8;82,3;82,2;82,4;82,2;82,1;82,3;82,3;82,4;82,1;81,9
LA CROSSE, WI;15,9;22,6;34,6;48,4;60,6;69,6;74;71,6;62,7;50,6;35,5;21,8
LAKE CHARLES, LA;50,9;54,4;61;67,3;74,9;80,5;82,6;82,4;78,4;69,5;60,1;53,3
LANDER, WY;20,3;25,6;35,5;43,9;53,4;63,7;70,9;69,4;58,7;46,4;30,3;21,3
LANSING, MI;21,6;24;33,9;45,5;57,1;66,2;70,3;68,4;60,5;49,2;38;26,9
LAS VEGAS, NV;47;52,2;58,3;66;75,4;85,6;91,2;89,3;81,3;68,7;55;47
LEWISTON, ID;33,7;38,4;44,7;51,1;58,5;65,8;73,5;73,4;63,8;51,6;40,4;33,9
LEXINGTON, KY;32;36,4;45,6;54,6;63,8;72,2;76,1;74,8;68;56,6;45,9;36,3
LIHUE, HI;71,7;71,7;72,7;73,9;75,4;77,7;79;79,7;79,5;78,2;75,9;73,3
LINCOLN, NE;22,4;28,3;39,4;51,2;62;72,7;77,8;75,4;66;53,5;38,1;26,5
LITTLE ROCK, AR;40,1;45,2;53,4;61,4;70,1;78,4;82,4;81,3;74,4;63,3;51,7;43,2
LONG BEACH, CA;57;58,3;59,7;63;65,9;69,8;73,8;75,1;73,4;68,6;61,8;57,1
LOS ANGELES AP, CA;57,1;58;58,3;60,8;63,1;66,4;69,3;70,7;70,1;66,9;61,6;57,6
LOS ANGELES C.O., CA;58,3;60;60,7;63,8;66,2;70,5;74,2;75,2;74;69,5;62,9;58,5
LOUISVILLE, KY;33;37,6;46,9;56,4;65,8;74,2;78,4;77;70,1;58,5;47,6;37,6
LUBBOCK, TX;38,1;43,3;51,2;60;69,2;77,1;79,8;78;70,9;60,7;48,1;39,7
LYNCHBURG, VA;34,5;37,8;46;55,3;63,4;71;75,1;73,8;67,1;56,1;46,6;38,2
MACON, GA;45,5;48,9;56,2;62,7;71;78;81,1;80;74,5;63,9;55,1;47,8
MADISON, WI;17,3;22,6;33,7;45,9;57,7;67;71,6;69,1;60,7;49,3;35,5;23
MAJURO, PC;80,8;81,1;81,2;81,1;81,3;81,2;81,1;81,4;81,5;81,5;81,4;80,9
MANSFIELD, OH;24,3;27,3;36,7;47,2;58;66,8;71;69,3;62,6;51,5;40,5;29,6
MARQUETTE, MI;11,5;14,8;23,7;36,4;50,3;59,3;64,4;62,3;53,5;42,5;28,9;17,2
MCGRATH, AK;-6,7;-0,9;11,8;29,1;46,2;56,7;59,8;54,9;44,7;25,3;5,8;-3,8
MEDFORD, OR;39,1;43,5;47,1;51,6;58,1;65,6;72,7;72,5;65,9;55,1;43,9;38,1
MEMPHIS, TN;39,9;44,9;53,5;62,1;70,6;78,7;82,5;81,2;74,8;63,8;52,3;43,3
MERIDIAN, MS;46,1;50,2;57,3;63,8;71,7;78,5;81,7;81,4;76,1;64,8;55,7;48,9
MIAMI, FL;68,1;69,1;72,4;75,7;79,6;82,4;83,7;83,6;82,4;78,8;74,4;69,9
MIDLAND-ODESSA, TX;43,2;48,6;55,9;63,7;72,8;79,6;81,7;80,4;73,9;64,4;52,3;44,8
MILFORD, UT;28,1;33,7;41,6;48,3;56,6;66,7;74,2;72,6;63,1;50,6;37,6;28,6
MILWAUKEE, WI;20,7;25,4;34,9;45,2;56,1;66,3;72;70,6;63;51,4;38,4;26,2
MINNEAPOLIS-ST.PAUL, MN;13,1;20,1;32,1;46,6;59,3;68,4;73,2;70,6;61;48,7;32,5;18,7
MISSOULA, MT;23,5;29;37,6;45,2;52,7;60,2;66,9;66,3;56,1;44,4;32;23,4
MOBILE, AL;50,1;53,5;60,2;66,1;73,5;79,3;81,5;81,3;77,2;67,7;58,9;52,3
MOLINE, IL;21,1;26,9;38,7;50,5;61,7;71,2;75,3;73,2;65;53;39,1;26,4
MONTGOMERY, AL;46,6;50,5;57,9;64,3;72,3;78,9;81,8;81,2;76,3;65,4;56,1;49
MOUNT SHASTA, CA;35,3;38,2;41,2;46,3;53,2;60,2;66,1;65,1;59,5;50,5;39,9;34,8
MT. WASHINGTON, NH;5,2;6,6;13,6;22,9;35,6;44,4;48,7;47,6;40,4;30,2;20,6;10,1
MUSKEGON, MI;23,5;25,4;34;44,9;56,1;64,9;69,9;68,5;60,5;49,7;38,7;28,6
NASHVILLE, TN;36,8;41,3;50,1;58,5;67,1;75,1;79,1;77,9;71,3;59,9;49,3;40,5
NEW ORLEANS, LA;52,6;55,7;62,4;68,2;75,6;80,7;82,7;82,5;78,9;70;61,4;55,1
NEW YORK (JFK AP), NY;31,8;33,5;40,9;50,1;59,7;68,8;74,8;74,1;67,2;56,5;46,8;37,2
NEW YORK (LAGUARDIA AP), NY;32,6;34,8;42,3;52,2;62,4;71,5;77,1;75,9;68,6;57,7;47,6;37,9
NEW YORK C.PARK, NY;32,1;34,6;42,5;52,5;62,6;71,2;76,5;75,1;67,5;56,6;47,1;37,3
NEWARK, NJ;31,3;33,8;42,2;52,3;62,7;71,9;77,2;75,5;67,8;56,4;46,4;36,4
NOME, AK;5,8;5,7;9,4;19,6;37,1;47,3;52,6;50,6;42,9;28,5;16,9;8,4
NORFOLK, NE;20,4;26,4;37;49,1;60,3;70,1;74,8;72,7;63,4;51;35,1;23,7
NORFOLK, VA;40,1;42;49;57,4;66,3;74,5;79,1;77,4;72,1;61,1;52,3;44,2
NORTH LITTLE ROCK, AR;40,2;45,6;54,3;63;70,9;78,8;83,2;82,1;75;64,5;52,5;43,4
NORTH PLATTE, NE;23,2;29,4;38;48,1;58,3;68,4;74,3;72,6;62,4;49,7;34,6;25,7
OAK RIDGE,TN;36,6;40,6;48,8;57,2;65,6;73,3;77,3;76,2;70;58,4;47,7;39,4
OKLAHOMA CITY, OK;36,7;42,3;51;59,7;68,4;76,8;82;81,2;73,2;62;48,9;39,5
OLYMPIA, WA;38,1;40,5;43,6;47,4;53,3;58,2;62,8;63,3;58,3;49,7;42,4;38
OMAHA (NORTH), NE;22,4;28,5;39,8;52;62,3;71,5;75,6;74;65,7;53,9;38,4;26,2
OMAHA EPPLEY AP, NE;21,7;28;39,3;51,4;62,2;72,2;76,7;74,5;65,4;53,2;38;25,6
ORLANDO, FL;60,9;62,6;67,4;71,5;77,1;81,2;82,4;82,5;81,1;75,3;68,8;63
PADUCAH, KY;32,9;38,1;47,6;57;65,9;74,5;78,2;76,2;69,1;58;46,8;36,9
PAGO PAGO, PC;81,5;81,8;82;81,6;80,9;80,3;79,7;79,8;80,3;80,7;81,2;81,7
PENDLETON, OR;33,8;38,7;45,1;51;58,1;65,4;72,6;72;63,4;52,3;41,2;33,9
PENSACOLA, FL;52;54,9;61;66,9;74,6;80,6;82,6;82,2;78,7;69,5;60,7;54,1
PEORIA, IL;22,5;28,2;39,8;51,2;61,9;71,1;75,1;73,1;65,4;53,4;40,1;27,8
PHILADELPHIA, PA;32,3;34,8;43,2;53,1;63,5;72,3;77,6;76,3;68,8;57,2;47,1;37,4
PHOENIX, AZ;54,2;58,2;62,7;70,2;79,1;88,6;92,8;91,4;86;74,6;61,6;54,3
PITTSBURGH, PA;27,5;30,5;39,8;49,9;60;68,4;72,6;71;64;52,5;42,3;32,5
POCATELLO, ID;24,4;30;37,9;45,6;53,5;62;69,2;68,4;58,8;47,7;34,7;25,3
POHNPEI, PC;80,8;81,1;81,4;81,2;81,2;81;80,7;80,7;80,7;80,7;81;80,9
PORT ARTHUR, TX;52,2;55,6;62,2;68,2;75,4;80,9;82,7;82,5;78,7;70,1;60,9;54,2
PORTLAND, ME;21,7;24,8;33,7;43,7;53,8;62,9;68,7;67,2;58,7;47,7;38,3;27,6
PROVIDENCE, RI;28,7;30,9;38,8;48,6;58,7;67,6;73,3;71,9;64;53;43,8;33,8
PUEBLO, CO;29,3;34,6;41,8;49,9;59,7;69,8;75,4;73,5;64,8;52,4;38,4;30,3
QUILLAYUTE, WA;40,6;42,2;43,8;46,7;51,2;54,9;58,6;59,3;56,5;50,1;44,2;40,6
RALEIGH, NC;39,7;43;50,7;59,1;67;74,7;78,8;77,2;71,2;60;51;43
RAPID CITY, SD;22,4;27,3;34,9;44,7;55;64,6;71,7;71,1;60,6;48,2;33,4;24,7
REDDING, CA;45,5;49,1;52,5;57,8;66,2;75,2;81,3;78,9;73,4;63,2;51,1;45,3
RENO, NV;33,6;38,5;43,3;48,6;56,4;64,7;71,3;69,9;62,4;52;40,9;33,6
RICHMOND, VA;36,4;39,5;47,7;57,1;65,4;73,5;77,9;76,3;69,8;58,3;49;40,4
ROANOKE, VA;35,8;39,1;47,2;56,1;64,1;71,9;76,2;74,7;67,7;56,6;47,3;39,1
ROCHESTER, MN;11,8;18,4;30,6;44,7;56,9;66,1;70,1;67,7;58,9;47;31,2;17,3
ROCKFORD, IL;19;24,7;36,1;47,9;59,6;68,8;72,9;70,9;62,8;51;37,2;24,4
ROSWELL, NM;40;45,7;52,9;60,5;69,6;78;80,8;78,9;72;61,4;48,9;40,7
SACRAMENTO, CA;46,3;51,2;54,5;58,9;65,5;71,5;75,4;74,8;71,7;64,4;53,3;45,8
SAINT CLOUD, MN;8,8;16,1;28,4;43,6;56,6;65,1;69,8;67,2;57,4;45,3;28,8;14,4
SALEM, OR;40,3;43;46,5;50;55,6;61,2;66,8;67;62,2;52,9;45,2;40,2
SALT LAKE CITY, UT;29,2;34,5;43,1;50;58,8;69;77;75,6;65;52,5;39,6;30,2
SAN ANGELO, TX;44,9;49,7;57,2;65;73,1;79,2;82,4;81,3;74,8;65,4;54;46,4
SAN ANTONIO, TX;50,3;54,7;62,1;68,6;75,8;81,5;84,3;84,2;79,4;70,7;60;52,4
SAN DIEGO, CA;57,8;58,9;60;62,6;64,6;67,4;70,9;72,5;71,6;67,6;61,8;57,6
SAN FRANCISCO AP, CA;49,4;52,4;54;56,2;58,7;61,4;62,8;63,6;63,9;61;54,7;49,5
SAN FRANCISCO C.O., CA;52,3;55;55,9;57,3;58,4;60,5;61,3;62,4;63,7;62,5;57,5;52,7
SAN JUAN, PR;76,6;76,9;77,6;79,1;80,6;82,1;82,2;82,4;82,2;81,6;79,6;77,7
SANTA BARBARA, CA;53,1;55,2;56,7;58,9;60,9;64,2;67;68,6;67,4;63,5;57,5;53,2
SANTA MARIA, CA;51,6;53,1;53,8;55,5;57,8;60,9;63,5;64,2;63,9;61,1;55,5;51,6
SAULT STE. MARIE, MI;13,2;15,6;24,9;38,4;51,3;58,6;63,9;63,3;54,8;44,4;32,4;20,2
SAVANNAH, GA;49,2;52,5;59,3;65,3;72,8;78,8;82,1;80,8;76,7;67,1;58,7;51,4
SCOTTSBLUFF, NE;24,5;30;37,3;46,2;56,8;67,2;73;70,9;60,5;47,8;34;25,7
SEATTLE C.O., WA;41,5;43,8;46,9;50,9;56,6;61,1;65,5;66;61,3;53,4;46;41,3
SEATTLE SEA-TAC AP, WA;40,9;43,3;46,2;50,2;55,8;60,7;65,3;65,6;61,1;52,7;45,2;40,7
SEXTON SUMMIT, OR;37,5;38,6;39,6;43,4;49,9;56,5;63,7;64,2;60,1;51,3;40,5;37,3
SHERIDAN, WY;21,3;26,9;35,3;43,9;52,5;61,6;68,8;68,2;57,1;45,1;31;22,4
SHREVEPORT, LA;46,4;51,2;58,5;65,2;73;79,9;83,4;82,9;77;66,7;56,1;48,4
SIOUX CITY, IA;18,6;25,1;36,5;49,5;61,2;70,5;74,6;72,1;63,1;50,8;34,8;22,3
SIOUX FALLS, SD;14;20,8;32,6;45,7;57,8;67,5;73;70,8;60,9;48;31,3;18,3
SOUTH BEND, IN;23,4;27,3;37,5;48,3;59,6;69;73;71;63,4;52,1;40,1;28,7
SPOKANE, WA;27,3;32,5;39,5;46,5;54,4;61,6;68,6;68,6;59,2;47,2;34,9;27,2
SPRINGFIELD, IL;25,1;30,6;41,8;52,8;63,6;72,6;76,3;74,2;67;55,5;42,3;30,3
ST. LOUIS, MO;29,6;35,4;45,8;56,6;66,5;75,6;80,2;78,2;70,2;58,3;45,3;33,9
ST. PAUL ISLAND, AK;25,7;23,3;24,2;28,4;35,7;41,9;46,7;48,4;45;38,3;33,1;28,8
STOCKTON, CA;46;51,1;54,9;60;66,7;73,2;77,3;76,5;72,8;64,6;53,1;45,3
SYRACUSE, NY;22,7;24,5;33,6;45,3;57,1;65,8;70,9;69,2;61,3;50,1;39,7;28,6
