Index,Height(cm),Weight(kg)
344,170.9,56.3
345,171.7,57.2
346,172.4,63.0
347,168.8,55.1
348,175.1,51.8
349,173.9,58.7
350,176.6,62.4
351,178.4,61.0
352,172.4,57.9
353,172.7,52.5
354,170.5,59.7
355,173.0,57.9
356,175.2,57.0
357,176.1,54.4
358,178.0,63.9
359,174.6,62.1
360,163.0,53.7
361,167.9,58.8
362,175.9,69.0
363,176.9,54.8
364,173.8,61.7
365,173.4,59.0
366,176.2,59.8
367,173.6,63.2
368,183.7,76.3
369,178.7,57.9
370,167.0,59.8
371,168.9,55.7
372,179.9,63.6
373,171.1,64.7
374,172.2,62.3
375,173.1,57.2
376,174.9,65.1
377,172.0,55.6
378,164.2,49.3
379,167.0,45.7
380,173.8,52.7
381,175.0,63.7
382,173.4,57.0
383,175.7,60.9
384,184.4,61.9
385,167.7,58.0
386,175.8,55.9
387,174.9,52.8
388,168.8,56.5
389,176.0,57.1
390,171.7,48.8
391,176.3,64.9
392,171.4,53.9
393,168.8,54.0
394,174.7,59.8
395,162.0,54.1
396,175.4,57.2
397,168.9,57.4
398,169.5,51.5
399,171.9,52.5
400,169.4,59.1
401,170.3,56.9
402,167.4,53.1
403,177.9,62.3
404,175.9,67.8
405,178.0,68.5
406,164.9,53.1
407,177.0,62.7
408,171.6,57.9
409,162.2,54.8
410,181.9,65.4
411,165.1,48.0
412,164.1,54.5
413,157.5,49.5
414,165.8,57.1
415,172.0,50.0
416,180.0,61.0
417,173.2,52.4
418,171.3,56.7
419,180.4,52.8
420,172.3,60.5
421,170.6,49.3
422,173.5,61.0
423,166.1,59.5
424,174.4,59.3
425,178.0,57.6
426,175.6,54.2
427,170.2,47.9
428,166.4,61.0
429,178.3,60.2
430,171.9,57.2
431,177.1,57.3
432,171.7,64.6
433,179.8,56.5
434,176.9,55.5
435,169.5,55.9
436,171.7,59.6
437,165.7,56.4
438,179.6,58.2
439,181.0,62.1
440,169.1,53.6
441,172.8,55.1
442,173.0,54.1
443,180.9,57.4
444,170.0,58.6
445,180.6,61.1
446,176.3,66.3
447,175.7,73.7
448,174.2,59.1
449,176.8,60.0
450,175.4,57.8
451,173.4,56.9
452,175.9,61.1
453,173.3,55.3
454,171.9,57.0
455,174.9,66.2
456,176.6,54.4
457,170.1,50.6
458,182.9,62.9
459,171.3,61.2
460,167.8,52.8
461,166.6,56.2
462,173.5,62.1
463,180.4,69.4
464,179.8,57.3
465,171.5,65.8
466,176.6,61.3
467,168.8,49.4
468,174.2,50.1
469,170.2,62.7
470,174.5,54.2
471,173.3,52.3
472,178.8,60.0
473,166.9,42.6
474,166.9,57.8
475,173.9,60.9
476,169.2,56.7
477,169.8,56.3
478,177.5,60.6
479,171.8,60.9
480,173.5,59.1
481,177.2,62.6
482,174.2,57.4
483,173.1,59.8
484,172.7,59.8
485,164.7,53.4
486,175.8,57.2
487,175.9,57.8
488,180.2,64.6
489,175.5,63.3
490,168.2,50.0
491,180.5,59.9
492,175.2,58.6
493,180.2,56.4
494,167.7,57.4
495,177.5,67.7
496,169.7,64.5
497,175.5,57.7
498,169.7,55.5
499,170.5,51.1
500,164.0,60.9
501,174.4,54.7
502,171.5,52.5
503,180.8,58.4
504,179.2,61.1
505,181.7,53.7
506,169.6,48.2
507,168.5,57.3
508,164.7,51.9
509,173.7,59.1
510,172.8,55.9
511,175.5,55.7
512,177.6,57.0
513,173.8,50.7
514,173.5,57.0
515,170.1,54.4
516,179.2,60.1
517,176.2,60.2
518,171.5,53.3
519,164.8,46.2
520,175.6,58.3
521,174.8,60.8
522,171.6,57.9
523,173.1,57.9
524,167.1,63.2
525,164.9,51.7
526,173.6,66.9
527,169.5,60.2
528,175.7,60.2
529,167.4,47.7
530,167.7,57.8
531,176.4,59.3
532,170.6,58.3
533,166.9,55.6
534,176.3,71.3
535,169.0,54.9
536,175.4,66.9
537,171.8,53.3
538,176.8,60.1
539,173.0,53.6
540,180.9,56.1
541,168.7,59.1
542,168.4,55.7
543,172.8,48.9
544,173.5,53.8
545,170.0,57.0
546,182.3,67.4
547,167.8,68.2
548,175.3,57.6
549,174.5,58.4
550,165.1,53.7
551,167.8,56.9
552,180.8,67.7
553,171.6,48.7
554,174.8,60.6
555,173.0,56.6
556,172.5,51.1
557,171.8,58.0
558,177.2,60.9
559,172.7,62.9
560,176.3,57.2
561,178.9,58.8
562,171.9,60.8
563,172.4,48.1
564,172.9,57.6
565,170.2,55.3
566,181.8,68.4
567,163.5,52.6
568,172.5,56.9
569,177.6,59.7
570,177.6,58.5
571,169.7,58.6
572,178.1,67.2
573,175.1,47.8
574,172.8,50.1
575,176.2,53.8
576,173.9,55.7
577,166.9,56.6
578,176.7,61.6
579,167.2,52.8
580,174.8,56.9
581,175.4,60.4
582,171.1,62.7
583,178.7,56.5
584,177.5,62.0
585,165.5,52.2
586,176.3,60.2
587,174.0,64.9
588,166.9,61.1
589,162.5,55.6
590,178.0,69.7
591,173.8,57.3
592,173.3,61.1
593,172.3,61.1
594,168.4,53.7
595,177.2,55.0
596,166.9,60.0
597,169.9,63.1
598,170.9,50.2
599,179.4,69.9
600,177.6,56.3
601,167.3,61.0
602,184.0,62.7
603,178.0,67.6
604,171.9,57.6
605,167.9,53.4
606,177.7,67.5
607,173.3,58.2
608,174.8,58.8
609,169.2,57.0
610,178.3,58.4
611,166.6,56.3
612,174.5,68.7
613,164.8,48.5
614,177.3,66.1
615,168.5,55.2
616,178.9,59.4
617,177.8,61.5
618,178.1,56.2
619,170.6,59.9
620,173.2,53.3
621,172.1,58.8
622,164.6,55.5
623,168.9,52.0
624,170.1,52.9
625,166.9,63.2
626,169.7,56.0
627,168.5,60.1
628,178.1,65.0
629,178.1,60.3
630,164.0,44.9
631,173.1,55.5
632,170.6,47.5
633,180.1,64.8
634,173.1,59.4
635,180.8,65.2
636,172.5,64.5
637,165.9,49.0
638,168.7,47.9
639,181.1,56.9
640,175.4,48.3
641,167.5,53.8
642,176.9,62.0
643,180.6,66.2
644,168.2,58.8
645,168.0,49.2
646,172.2,55.0
647,169.4,61.6
648,177.8,62.4
649,180.7,56.2
650,174.3,58.5
651,175.5,60.6
652,172.7,48.3
653,167.5,51.3
654,167.7,57.1
655,180.9,63.6
656,171.5,65.0
657,180.5,66.1
658,173.4,58.1
659,171.0,60.9
660,175.2,63.6
661,173.7,66.4
662,170.4,59.9
663,169.6,55.4
664,166.7,59.6
665,166.0,58.7
666,173.2,57.0
667,179.5,69.5
668,167.5,56.5
669,176.9,61.2
670,173.5,52.3
671,178.0,53.5
672,173.8,56.5
673,175.9,61.0
674,172.0,58.7
675,180.1,60.4
676,179.2,66.8
677,181.8,70.3
678,173.8,57.3
679,176.2,61.0
680,178.9,60.8
681,171.1,58.5
682,171.5,55.8
683,174.0,50.9
684,169.7,50.7
685,183.9,67.3
686,174.0,62.0
687,179.8,60.4
688,168.2,53.0
689,173.5,56.6
690,170.6,55.1
691,172.1,55.9
692,171.4,62.2
693,172.1,55.1
694,175.8,68.5
695,177.9,64.5
696,179.2,61.1
697,168.8,60.6
698,171.9,61.7
699,167.0,43.2
700,176.2,54.3
701,179.3,69.4
702,170.9,63.6
703,174.0,65.9
704,170.2,54.2
705,167.1,56.0
706,167.6,50.2
707,173.2,50.6
708,183.1,63.3
709,169.8,60.4
710,175.5,60.6
711,164.1,51.2
712,170.3,56.6
713,175.2,56.0
714,179.3,64.5
715,178.0,52.7
716,166.8,59.5
717,170.4,59.5
718,167.7,57.7
719,175.9,55.5
720,169.2,52.3
721,173.0,57.6
722,177.1,65.1
723,162.6,56.9
724,168.2,49.4
725,184.1,63.2
726,168.2,46.3
727,181.1,65.5
728,160.3,37.7
729,180.2,66.0
730,173.4,61.2
731,164.5,61.1
732,166.2,50.6
733,175.0,54.3
734,165.0,43.4
735,168.0,53.1
736,167.6,57.7
737,175.9,65.7
738,173.5,55.7
739,178.1,60.9
740,174.3,56.7
741,172.1,61.6
742,164.0,54.8
743,164.2,56.7
744,167.4,60.6
745,167.1,56.5
746,170.6,61.7
747,183.5,65.1
748,174.6,59.2
749,171.6,57.7
750,178.7,64.1
751,161.6,48.7
752,168.2,55.5
753,168.2,50.6
754,178.0,62.5
755,176.9,64.8
756,168.3,51.9
757,172.9,58.2
758,170.6,61.0
759,174.7,63.6
760,173.0,55.3
761,167.0,50.5
762,175.7,61.3
763,178.7,60.3
764,179.8,53.4
765,180.0,61.2
766,169.2,68.8
767,177.8,58.5
768,170.0,54.5
769,181.5,57.0
770,176.9,58.0
771,176.0,61.8
772,169.2,52.7
773,163.1,57.6
774,173.3,57.0
775,178.0,54.9
776,180.3,55.7
777,164.9,54.2
778,169.9,60.3
779,175.8,60.3
780,173.8,56.4
781,168.4,60.0
782,183.2,64.8
783,167.0,58.8
784,177.7,58.3
785,165.4,51.3
786,171.3,55.4
787,168.7,53.7
788,170.7,59.0
789,171.9,50.7
790,172.1,64.5
791,161.6,55.6
792,168.8,55.7
793,182.7,54.0
794,172.5,63.2
795,172.7,64.1
796,172.1,54.3
797,175.8,61.8
798,170.2,53.7
799,170.4,62.5
800,177.4,58.5
801,171.3,56.0
802,173.0,52.4
803,173.5,58.9
804,176.4,61.7
805,175.5,58.0
806,180.1,63.1
807,163.1,49.5
808,180.6,56.5
809,183.1,61.8
810,168.0,54.6
811,171.5,52.7
812,170.6,52.4
813,185.2,64.4
814,166.5,61.5
815,175.5,61.3
816,165.8,49.1
817,174.1,56.8
818,181.2,64.8
819,169.9,58.2
820,172.5,58.2
821,170.2,47.0
822,173.4,70.8
823,168.2,47.6
824,163.2,55.2
825,171.3,59.9
826,163.8,53.7
827,175.0,61.4
828,178.6,63.8
829,163.4,50.7
830,170.5,58.1
831,172.8,59.2
832,173.4,58.2
833,172.1,64.8
834,171.3,55.8
835,167.0,53.5
836,176.9,59.4
837,182.7,58.6
838,176.3,65.6
839,170.6,52.6
840,175.6,52.9
841,169.9,64.4
842,172.3,59.9
843,173.0,61.4
844,168.0,57.6
845,180.8,58.9
846,171.6,61.0
847,177.8,55.0
848,184.3,64.9
849,169.2,56.6
850,174.0,54.5
851,168.5,63.2
852,175.3,59.7
853,175.6,59.5
854,173.3,58.9
855,174.0,55.9
856,179.5,62.4
857,178.7,62.1
858,171.8,53.7
859,176.4,52.7
860,172.5,56.6
861,173.7,54.9
862,168.4,47.7
863,180.9,66.0
864,165.8,49.1
865,167.6,59.1
866,171.7,53.3
867,175.5,61.6
868,175.3,57.8
869,175.5,68.7
870,173.6,51.0
871,182.1,71.1
872,174.7,62.7
873,168.1,49.7
874,183.8,63.5
875,169.8,56.5
876,167.0,59.2
877,177.0,68.5
878,168.3,49.3
879,168.9,48.1
880,174.5,65.1
881,173.5,52.0
882,171.9,56.1
883,181.1,63.3
884,170.4,52.5
885,179.5,66.5
886,181.4,69.9
887,180.3,62.4
888,168.4,57.1
889,172.9,63.4
890,163.0,57.3
891,169.9,51.7
892,179.1,58.9
893,166.3,52.7
894,175.5,63.1
895,172.6,57.6
896,170.7,57.1
897,171.8,51.5
898,178.0,55.9
899,163.6,55.8
900,177.2,58.1
901,169.1,58.0
902,173.1,50.1
903,168.1,58.0
904,169.7,53.6
905,170.6,58.8
906,172.8,59.2
907,170.1,47.6
908,174.5,55.6
909,177.0,62.7
910,169.0,48.9
911,168.8,64.2
912,181.5,69.7
913,169.2,61.0
914,162.6,49.7
915,165.2,53.2
916,169.6,56.4
917,175.1,56.8
918,180.9,60.4
919,180.6,55.6
920,177.3,61.2
921,170.4,50.6
922,170.9,53.0
923,182.5,64.9
924,170.7,45.3
925,173.8,58.0
926,170.7,62.0
927,176.2,66.0
928,175.4,57.5
929,167.4,58.2
930,168.8,55.7
931,167.8,60.4
932,176.2,53.0
933,179.9,65.3
934,171.9,60.1
935,165.9,56.2
936,169.3,51.3
937,170.0,56.2
938,172.1,60.8
939,163.3,58.1
940,169.8,55.0
941,167.4,55.7
942,171.8,56.9
943,174.5,56.6
944,167.8,52.9
945,170.0,58.9
946,176.5,56.2
947,174.2,62.4
948,175.8,59.4
949,171.8,64.4
950,167.0,57.0
951,167.9,47.4
952,171.8,53.1
953,171.7,59.8
954,176.7,56.9
955,167.9,58.8
956,178.0,59.0
957,165.1,59.8
958,175.7,64.6
959,176.8,57.9
960,181.6,69.5
961,176.5,57.5
962,175.3,51.7
963,176.7,60.8
964,174.3,57.9
965,170.7,57.4
966,167.8,54.8
967,168.1,57.4
968,179.9,60.4
969,170.6,57.1
970,165.9,55.0
971,175.9,58.9
972,175.0,59.0
973,183.8,56.0
974,173.5,62.3
975,173.6,57.9
976,171.4,60.6
977,174.9,51.7
978,169.2,61.5
979,164.5,55.6
980,172.0,54.0
981,185.4,60.9
982,180.2,56.4
983,172.6,59.3
984,170.7,56.6
985,168.6,58.6
986,171.8,55.3
987,177.2,57.3
988,173.2,61.1
989,169.9,59.8
990,171.4,47.0
991,168.9,52.8
992,169.9,56.0
993,177.1,68.2
994,177.2,61.3
995,166.1,51.0
996,172.7,62.4
997,183.5,60.2
998,179.8,57.2
999,165.6,64.1
1000,172.0,61.6
1001,177.9,61.1
1002,171.0,55.3
1003,168.7,58.2
1004,177.1,59.3
1005,174.5,59.7
1006,162.3,49.3
1007,173.8,52.0
1008,172.5,60.6
1009,179.6,61.6
1010,175.1,67.2
1011,168.9,56.0
1012,174.2,54.8
1013,168.3,52.7
1014,176.7,56.2
1015,171.1,54.1
1016,177.0,54.2
1017,173.8,56.5
1018,173.9,59.4
1019,166.3,53.6
1020,169.7,49.7
1021,177.9,63.6
1022,171.3,55.1
1023,169.0,44.6
1024,171.0,53.4
1025,172.7,61.9
1026,175.4,67.6
1027,171.9,56.2
1028,176.0,60.6
1029,166.1,53.2
1030,173.6,56.1
1031,166.0,53.4
1032,173.6,62.2
1033,180.7,58.6
1034,175.9,64.6
1035,169.4,58.3
1036,175.7,52.3
1037,173.5,54.2
1038,172.3,55.2
1039,174.1,64.8
1040,168.2,49.9
1041,175.1,55.4
1042,172.4,56.6
1043,172.9,54.1
1044,172.1,60.1
1045,177.4,60.3
1046,179.5,73.0
1047,163.9,54.0
1048,172.5,62.8
1049,172.1,56.6
1050,176.3,61.7
1051,172.1,52.7
1052,172.2,63.1
1053,172.7,62.6
1054,177.7,65.5
1055,162.1,49.5
1056,166.6,57.7
1057,176.1,56.5
1058,170.9,52.1
1059,174.6,60.1
1060,175.3,56.9
1061,176.9,58.3
1062,169.4,53.4
1063,172.5,51.2
1064,163.5,57.2
1065,167.3,53.9
1066,170.4,56.9
1067,176.1,56.7
1068,177.4,66.0
1069,167.9,53.0
1070,175.9,60.1
1071,173.6,52.1
1072,176.2,55.7
1073,175.6,59.2
1074,173.9,54.0
1075,168.5,60.7
1076,177.9,58.3
1077,178.2,63.1
1078,173.2,45.9
1079,178.1,63.9
1080,173.8,61.1
1081,168.8,58.9
1082,182.2,63.1
1083,179.6,61.3
1084,172.9,58.8
1085,178.1,58.6
1086,167.8,58.5
1087,177.2,51.1
1088,173.1,57.2
1089,177.6,53.7
1090,166.0,55.8
1091,173.6,59.1
1092,163.8,51.8
1093,172.6,52.5
1094,174.2,62.6
1095,173.0,50.9
1096,174.7,62.3
1097,172.5,56.7
1098,175.6,61.3
1099,160.5,51.9
1100,175.9,55.4
1101,167.4,58.7
1102,172.3,58.9
1103,166.6,63.7
1104,169.4,54.8
1105,175.7,58.6
1106,175.9,62.2
1107,171.6,65.9
1108,176.5,63.5
1109,179.3,56.3
1110,169.0,61.5
1111,175.6,58.0
1112,177.7,65.3
1113,172.0,59.8
1114,175.7,61.5
1115,172.2,68.7
1116,171.8,56.6
1117,178.7,61.4
1118,180.4,61.9
1119,177.4,62.5
1120,170.4,51.8
1121,174.3,64.2
1122,163.5,50.4
1123,167.5,57.3
1124,165.7,60.3
1125,179.1,65.7
1126,169.2,49.2
1127,170.5,56.3
1128,169.6,58.7
1129,171.9,59.6
1130,172.3,50.6
1131,169.2,50.6
1132,171.8,63.6
1133,177.0,56.9
1134,159.4,51.9
1135,163.9,51.7
1136,172.8,53.2
1137,168.6,62.7
1138,178.3,55.5
1139,164.2,60.3
1140,171.4,56.3
1141,182.9,65.4
1142,169.2,52.4
1143,167.2,52.9
1144,180.8,63.3
1145,174.0,60.4
1146,165.0,54.4
1147,169.9,55.8
1148,178.7,60.3
1149,172.0,54.9
1150,167.7,58.9
1151,175.2,62.1
1152,174.3,59.5
1153,169.8,60.5
1154,172.8,61.9
1155,164.6,59.6
1156,179.2,57.2
1157,173.4,52.2
1158,174.7,59.1
1159,170.4,59.7
1160,178.2,61.5
1161,166.3,54.6
1162,175.3,58.6
1163,188.6,68.1
1164,162.8,54.5
1165,171.7,59.9
1166,175.8,59.9
1167,163.8,54.2
1168,174.6,62.0
1169,173.9,67.0
1170,168.8,66.0
1171,178.2,56.7
1172,170.5,58.0
1173,170.0,57.1
1174,174.3,49.8
1175,170.1,48.9
1176,177.7,60.8
1177,170.0,61.2
1178,174.7,63.3
1179,171.2,57.6
1180,167.0,61.1
1181,167.3,45.3
1182,169.6,58.7
1183,170.1,58.7
1184,161.2,47.0
1185,173.6,52.5
1186,163.7,47.6
1187,161.3,59.4
1188,169.8,58.5
1189,166.5,46.5
1190,182.4,60.4
1191,174.9,66.4
1192,179.8,63.9
1193,175.3,60.1
1194,171.1,53.9
1195,168.5,60.5
1196,172.1,61.2
1197,174.4,58.8
1198,173.2,62.0
1199,181.7,60.8
1200,174.2,58.1
1201,181.2,59.1
1202,170.7,59.1
1203,172.0,58.2
1204,162.9,60.8
1205,177.5,63.8
1206,169.5,52.3
1207,176.2,61.6
1208,177.1,64.8
1209,172.1,64.9
1210,173.1,52.1
1211,182.7,67.8
1212,171.1,59.9
1213,166.0,57.6
1214,166.7,46.9
1215,175.0,56.8
1216,166.2,59.3
1217,173.0,56.4
1218,176.6,63.8
1219,176.3,56.4
1220,177.8,60.3
1221,174.2,59.1
1222,164.5,48.4
1223,171.5,49.4
1224,169.5,49.9
1225,172.6,56.4
1226,175.5,59.6
1227,177.9,62.3
1228,172.5,52.6
1229,172.7,53.5
1230,175.1,52.9
1231,169.5,52.4
1232,172.9,59.0
1233,174.6,67.5
1234,180.2,57.2
1235,173.5,52.4
1236,175.9,72.0
1237,173.7,64.1
1238,173.9,58.9
1239,176.5,62.2
1240,168.5,55.9
1241,169.9,53.5
1242,165.6,46.5
1243,173.7,59.3
1244,170.4,65.6
1245,159.1,45.4
1246,175.4,54.6
1247,180.7,65.5
1248,175.1,52.1
1249,173.0,64.2
1250,163.7,52.0
1251,167.6,55.2
1252,174.6,54.1
1253,179.2,61.3
1254,171.2,52.6
1255,167.9,55.9
1256,176.5,60.4
1257,180.2,61.8
1258,166.5,56.3
1259,166.4,52.8
1260,175.0,60.4
1261,171.7,62.6
1262,168.1,60.5
1263,174.5,51.8
1264,166.3,62.4
1265,172.0,59.7
1266,177.9,62.2
1267,177.1,61.3
1268,172.5,51.7
1269,166.7,60.1
1270,181.4,60.6
1271,168.3,48.4
1272,165.2,43.2
1273,166.9,51.8
1274,169.8,57.4
1275,173.3,57.5
1276,167.9,50.3
1277,181.2,60.0
1278,178.3,60.7
1279,180.4,65.3
1280,173.2,58.9
1281,175.2,48.3
1282,172.6,55.3
1283,176.5,53.6
1284,170.5,48.4
1285,172.1,58.3
1286,171.9,57.8
1287,164.4,46.7
1288,177.1,58.0
1289,174.0,63.4
1290,179.2,60.5
1291,169.1,54.6
1292,162.1,46.5
1293,168.6,60.9
1294,169.6,55.1
1295,170.2,49.1
1296,184.5,66.2
1297,172.2,52.1
1298,174.3,56.6
1299,167.2,51.5
1300,169.1,57.3
1301,168.7,56.3
1302,169.6,54.7
1303,175.3,56.4
1304,178.4,59.0
1305,178.3,62.3
1306,171.8,57.6
1307,168.7,53.7
1308,171.5,54.3
1309,173.2,60.9
1310,168.5,54.4
1311,178.7,63.6
1312,172.7,63.2
1313,167.8,47.7
1314,172.7,63.7
1315,166.3,63.4
1316,170.2,53.7
1317,177.5,55.3
1318,172.8,59.1
1319,177.8,62.7
1320,170.0,54.4
1321,181.4,64.2
1322,163.6,58.1
1323,174.3,55.6
1324,178.2,61.5
1325,177.7,72.0
1326,168.7,46.8
1327,165.8,55.8
1328,170.3,54.1
1329,168.5,63.3
1330,177.9,56.3
1331,181.6,60.1
1332,170.5,52.6
1333,184.2,73.9
1334,174.2,59.5
1335,169.5,56.6
1336,173.6,56.1
1337,169.0,54.0
1338,177.3,61.4
1339,178.3,63.3
1340,172.0,54.6
1341,169.5,51.3
1342,173.7,52.5
1343,173.1,58.3
1344,165.9,43.8
1345,173.4,55.6
1346,175.7,58.7
1347,168.9,58.4
1348,168.3,60.4
1349,172.2,59.0
1350,184.6,63.0
1351,179.4,63.0
1352,171.3,48.0
1353,174.0,61.4
1354,183.0,66.8
1355,164.4,49.3
1356,168.9,58.5
1357,182.7,67.0
1358,173.7,58.3
1359,176.4,57.8
1360,166.8,58.5
