"Id","Type","Zone","LotArea","LotConfig","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtRating","BsmtSF","CentralAir","X1stFlrSF","X2ndFlrSF","LowQualSF","LivAreaSF","FullBath","HalfBath","Bedrooms","Kitchen","KitchenQual","TotRms","Functional","Fireplaces","FireplaceQu","GarageType","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PoolArea","MoSold","YrSold","SaleCondition","SalePrice"
456044,50,"RL",13150,"CulDSac","1Fam","1.5Sto",7,5,2002,2002,"Gable","Gd","TA","PConc","Ex","TA","No","GLQ",1375,"Y",1498,611,0,2145,1,1,1,1,"Gd",6,"Typ",1,"Ex","Attchd","RFn",2,673,"TA","TA",0,8,2008,"Abnorml",261502
519932,90,"RM",8287,"Corner","Duplex","1Story",5,5,1961,1961,"Gable","Fa","TA","CBlock","Gd","TA","Gd","LwQ",100,"N",840,0,0,779,1,0,2,1,"TA",5,"Typ",0,NA,"Other","Unf",2,495,"TA","TA",0,5,2009,"Normal",132383
530580,20,"RL",48151,"Inside","1Fam","1Story",9,5,1981,1985,"Gable","Gd","TA","CBlock","Ex","TA","Gd","GLQ",1817,"Y",1832,0,0,1778,0,1,0,1,"Gd",5,"Typ",1,"Gd","Attchd","Fin",3,929,"TA","TA",0,11,2006,"Normal",366795
594468,20,"RL",6971,"Inside","1Fam","1Story",5,7,1965,1965,"Gable","TA","TA","CBlock","TA","TA","Av","ALQ",635,"Y",797,0,0,768,1,0,2,1,"TA",4,"Typ",0,NA,"Detchd","Unf",1,343,"TA","TA",0,1,2007,"Normal",155766
647708,60,"RL",9676,"Inside","1Fam","2Story",7,5,1997,1997,"Gable","TA","TA","PConc","Gd","TA","No","GLQ",748,"Y",1085,979,0,1961,2,1,3,1,"Gd",8,"Typ",0,NA,"Attchd","RFn",2,659,"TA","TA",0,2,2009,"Normal",219721
658356,60,"RL",9661,"Inside","1Fam","2Story",8,5,2004,1995,"Gable","Gd","TA","PConc","Ex","TA","Av","Unf",0,"Y",1152,1358,0,2516,2,1,4,1,"Gd",9,"Typ",1,"Gd","Other","RFn",3,860,"TA","TA",0,10,2006,"Normal",310354
679652,20,"RL",10917,"Inside","1Fam","1Story",7,5,1996,1996,"Gable","Gd","TA","PConc","Gd","TA","Av","GLQ",1037,"Y",1517,0,0,1460,2,0,3,1,"Gd",7,"Typ",0,NA,"Attchd","RFn",2,568,"TA","TA",0,6,2007,"Normal",221962
711596,20,"RL",14064,"Inside","1Fam","1Story",7,6,1965,1965,"Gable","TA","Gd","CBlock","Gd","TA","Gd","ALQ",1957,"Y",2222,0,0,2139,2,0,3,1,"TA",8,"Typ",2,"Gd","Attchd","Fin",2,523,"TA","TA",0,2,2007,"Normal",188014
786132,50,"RM",8541,"Inside","1Fam","1.5Sto",5,5,1948,1991,"Gable","TA","TA","CBlock","TA","TA","No","BLQ",331,"Y",1077,204,0,1334,1,0,2,1,"TA",6,"Min",0,NA,"Detchd","Unf",1,230,"TA","TA",0,1,2008,"Normal",155702
839372,20,"RL",10272,"Inside","1Fam","1Story",8,5,2003,2003,"Gable","TA","TA","PConc","Gd","TA","No","GLQ",32,"Y",1592,0,0,1518,2,0,3,1,"Gd",6,"Typ",1,"Gd","Attchd","RFn",3,793,"TA","TA",0,10,2008,"Normal",216461
850020,20,"RL",9061,"Inside","1Fam","1Story",5,5,1951,1951,"Gable","TA","TA","CBlock","TA","TA","No","Unf",0,"Y",1107,0,0,1042,1,1,3,1,"TA",6,"Typ",0,NA,"Detchd","Unf",2,442,"TA","TA",0,7,2007,"Normal",146690
860668,80,"RL",8335,"Inside","1Fam","2.5Sto",7,5,1995,1991,"Gable","TA","TA","PConc","Gd","TA","No","Unf",0,"Y",771,670,0,1414,2,1,3,1,"TA",7,"Typ",1,"TA","Other","Fin",2,391,"TA","TA",0,5,2008,"Normal",177543
871316,60,"RL",15521,"Corner","1Fam","2Story",8,5,1991,1991,"Hip","Gd","TA","CBlock","Gd","TA","No","Unf",0,"Y",1334,1083,0,2348,2,1,4,1,"Gd",9,"Typ",1,"TA","Attchd","Unf",2,444,"TA","TA",0,4,2005,"Normal",270621
881964,60,"RL",12384,"Inside","1Fam","2Story",6,5,2002,2002,"Gable","Gd","TA","PConc","Gd","TA","Av","Unf",0,"Y",679,916,0,1591,2,1,3,1,"Gd",6,"Typ",1,"Gd","Other","Fin",2,399,"TA","TA",0,3,2009,"Normal",192988
892612,160,"FV",3854,"Corner","TwnhsE","2Story",6,5,1999,1999,"Gable","Gd","TA","PConc","Gd","TA","Av","Unf",0,"Y",621,588,0,1276,2,1,2,1,"Gd",4,"Typ",0,NA,"Detchd","RFn",2,534,"TA","TA",0,6,2008,"Abnorml",204870
924556,20,"RL",7018,"Inside","1Fam","1Story",4,5,1944,1944,"Gable","TA","TA","BrkTil",NA,NA,NA,NA,0,"Y",1053,0,0,1068,1,0,2,1,"TA",4,"Typ",0,NA,"Detchd","Unf",2,431,"TA","TA",0,7,2005,"Normal",132208
956500,190,"C",7279,"Corner","Duplex","2.5Sto",6,6,1910,1990,"Hip","TA","TA","BrkTil","TA","Fa","Mn","LwQ",1053,"N",1317,1056,0,2191,2,0,4,2,"TA",9,"Typ",1,"Gd","Detchd","Unf",2,497,"TA","TA",0,11,2007,"Normal",159792
1020388,20,"RL",9462,"Inside","1Fam","1Story",4,5,1956,1956,"Gable","TA","TA","CBlock","TA","TA","No","ALQ",541,"Y",1231,0,0,1255,1,1,3,1,"TA",6,"Typ",0,NA,NA,NA,0,0,NA,NA,0,1,2009,"Normal",144949
1073628,50,"RM",7382,"Corner","1Fam","1.5Sto",7,4,1931,1945,"Gable","TA","Fa","PConc","TA","TA","No","LwQ",216,"Y",1193,565,0,1746,1,1,4,1,"TA",7,"Typ",2,"TA","Detchd","Unf",1,246,"TA","TA",0,6,2007,"Normal",161719
1137516,50,"RL",9100,"Inside","1Fam","1.5Sto",6,4,1954,1966,"Gable","TA","TA","CBlock","TA","Fa","No","LwQ",423,"Y",1158,639,0,1832,2,0,4,1,"TA",7,"Typ",0,NA,"Attchd","Unf",1,330,"TA","TA",0,10,2006,"Normal",145029
1148164,80,"RL",7782,"Inside","1Fam","2.5Sto",7,5,1993,1993,"Gable","TA","TA","PConc","Gd","TA","No","GLQ",259,"Y",811,674,0,1500,2,1,3,1,"TA",7,"Typ",1,"TA","Other","Fin",2,391,"TA","TA",0,4,2010,"Normal",155847
1275940,120,"RL",8125,"Inside","TwnhsE","1Story",6,5,1984,1984,"Gable","Gd","TA","PConc","Gd","TA","No","GLQ",299,"Y",1144,0,0,1229,2,0,2,1,"Gd",5,"Typ",0,NA,"Attchd","RFn",2,535,"TA","TA",0,3,2007,"Normal",119548
1297236,190,"RM",6968,"Inside","Duplex","1.5Sto",6,8,1935,1980,"Gable","TA","Fa","CBlock","TA","TA","Av","GLQ",508,"N",506,0,235,746,1,0,2,1,"TA",5,"Typ",0,NA,NA,NA,0,0,NA,NA,0,6,2005,"Normal",84715
1318532,45,"RM",4355,"Inside","1Fam","1.5Sto",5,7,1930,1941,"Gable","TA","Gd","BrkTil","TA","TA","No","LwQ",113,"Y",815,0,0,871,1,0,3,1,"TA",5,"Typ",1,"TA",NA,NA,0,0,NA,NA,0,6,2006,"Normal",86328
1329180,60,"RL",7693,"Inside","1Fam","2Story",6,5,1960,1960,"Gable","TA","TA","CBlock","TA","TA","No","BLQ",509,"Y",647,703,0,1402,1,1,3,1,"TA",6,"Typ",1,"Fa","Attchd","RFn",2,461,"TA","TA",0,7,2005,"Normal",180662
1350476,60,"RL",14692,"Corner","1Fam","2Story",7,6,1959,1959,"Gable","TA","TA","CBlock","TA","TA","No","LwQ",431,"Y",1229,906,0,2105,2,1,4,1,"Gd",8,"Typ",2,"Gd","Attchd","Fin",2,476,"TA","TA",0,5,2006,"Normal",265178
1361124,60,"RL",11723,"Corner","1Fam","2Story",6,5,1992,1992,"Gable","Gd","TA","PConc","Gd","TA","No","GLQ",685,"Y",993,1082,0,2111,2,1,3,1,"Gd",7,"Typ",1,"TA","Other","RFn",2,387,"TA","TA",0,7,2009,"Normal",275026
1371772,20,"RL",7081,"Corner","1Fam","1Story",5,6,1959,2001,"Gable","TA","TA","CBlock","TA","TA","No","LwQ",417,"Y",1358,0,0,1261,1,0,3,1,"Gd",7,"Typ",0,NA,"Detchd","Unf",2,628,"TA","TA",0,7,2007,"Normal",171030
1403716,20,"RL",10882,"Inside","1Fam","1Story",7,6,1963,1963,"Hip","TA","TA","PConc","TA","TA","No","Unf",0,"Y",1617,0,0,1616,2,0,3,1,"TA",7,"Typ",1,"Gd","Attchd","Unf",2,548,"TA","TA",0,5,2008,"Normal",209380
1446308,60,"RL",16115,"Inside","1Fam","2Story",6,5,1994,1994,"Gable","TA","TA","PConc","Gd","TA","No","GLQ",850,"Y",925,834,0,1824,2,1,3,1,"Gd",7,"Typ",0,NA,"Attchd","RFn",2,488,"TA","TA",0,8,2009,"Normal",254984
1510196,160,"RM",2426,"Inside","Twnhs","2Story",6,5,2004,1998,"Gable","Gd","TA","PConc","Gd","TA","No","Unf",0,"Y",990,724,0,1634,2,0,3,1,"Gd",7,"Maj",0,NA,"Detchd","Unf",2,376,"TA","TA",0,4,2005,"Normal",133826
1520844,30,"RM",5963,"Corner","1Fam","1Story",5,7,1931,1983,"Gable","TA","TA","BrkTil","TA","TA","No","BLQ",204,"Y",916,0,0,916,1,0,2,1,"TA",5,"Typ",0,NA,"Detchd","Unf",1,185,"Fa","TA",0,11,2009,"Normal",122626
1542140,20,"RL",7329,"Inside","1Fam","1Story",7,5,2004,1998,"Gable","TA","TA","PConc","Gd","TA","No","GLQ",661,"Y",1049,0,0,1027,1,0,3,1,"Gd",6,"Typ",0,NA,NA,NA,0,0,NA,NA,0,4,2007,"Normal",111589
1574084,20,"RL",14443,"Inside","1Fam","1Story",8,5,2007,1998,"Hip","Gd","TA","PConc","Ex","TA","Gd","GLQ",1333,"Y",1676,0,0,1664,2,0,2,1,"Gd",6,"Typ",1,"Gd","Attchd","RFn",3,896,"TA","TA",0,1,2008,"Abnorml",421171
1584732,60,"RL",15386,"CulDSac","1Fam","2Story",6,5,1968,1968,"Gable","TA","TA","CBlock","TA","TA","No","LwQ",428,"Y",1108,881,0,1953,2,1,4,1,"TA",8,"Typ",1,"Gd","Attchd","RFn",2,494,"TA","TA",0,6,2005,"Normal",207667
1691212,20,"RL",12267,"Corner","1Fam","1Story",7,5,2002,2002,"Gable","Gd","TA","PConc","Gd","TA","Mn","BLQ",1221,"Y",1532,0,0,1518,2,0,3,1,"Gd",7,"Typ",1,"Gd","Attchd","RFn",2,544,"TA","TA",0,5,2010,"Abnorml",230602
1701860,45,"RL",5638,"Inside","1Fam","1.5Sto",4,6,1948,1948,"Gable","TA","TA","CBlock","TA","TA","No","Unf",0,"Y",918,0,0,858,1,0,1,1,"TA",4,"Typ",0,NA,NA,NA,0,0,NA,NA,0,4,2007,"Normal",109430
1744452,60,"RL",10492,"Inside","1Fam","2Story",8,5,2000,2000,"Gable","Gd","TA","PConc","Ex","TA","No","GLQ",1322,"Y",1650,568,0,2255,1,1,3,1,"Ex",8,"Typ",1,"Gd","Attchd","Fin",3,820,"TA","TA",0,11,2006,"Abnorml",351692
1776396,50,"RM",11987,"Inside","1Fam","1.5Sto",5,6,1941,1948,"Gable","TA","TA","CBlock","TA","TA","No","LwQ",376,"Y",832,0,508,1425,1,1,2,1,"TA",7,"Typ",0,NA,"Detchd","Unf",2,639,"TA","TA",0,5,2007,"Normal",125587
1787044,20,"RL",32440,"Corner","1Fam","1Story",6,5,1958,1958,"Hip","TA","TA","CBlock","TA","Gd","Gd","BLQ",631,"Y",1668,0,0,1634,1,0,3,1,"TA",7,"Typ",2,"Gd","Attchd","Fin",2,546,"TA","TA",0,5,2009,"Normal",221072
1797692,160,"RL",5403,"Inside","TwnhsE","2Story",7,7,1979,1979,"Gable","Gd","Gd","PConc","Gd","Gd","No","GLQ",476,"Y",1055,672,0,1837,2,0,2,1,"Gd",5,"Typ",1,"TA","Attchd","RFn",2,497,"Gd","TA",0,6,2006,"Normal",262725
1818988,20,"RL",12777,"Inside","1Fam","1Story",6,5,1978,1978,"Gable","TA","TA","CBlock","Gd","Fa","No","ALQ",1431,"Y",1721,0,0,1654,2,0,3,1,"TA",7,"Min",1,"TA","Attchd","Fin",2,626,"TA","TA",0,11,2007,"Normal",173888
1840284,60,"RL",9890,"Corner","1Fam","2Story",6,5,1988,1986,"Gable","Gd","TA","PConc","Gd","TA","No","GLQ",871,"Y",1190,895,0,2043,2,1,4,1,"TA",8,"Typ",1,"TA","Attchd","Unf",2,529,"TA","TA",0,9,2006,"Normal",202018
1872228,30,"RM",8912,"Inside","1Fam","1Story",5,6,1923,2002,"Gable","Gd","TA","CBlock","TA","TA","No","Unf",0,"Y",990,0,0,931,1,0,2,1,"TA",5,"Typ",0,NA,"Detchd","Unf",2,484,"Fa","TA",0,7,2006,"Normal",102904
1893524,70,"RL",7665,"Inside","1Fam","2Story",7,6,1920,1949,"Gable","TA","TA","BrkTil","Fa","TA","No","LwQ",342,"Y",894,941,0,1891,1,1,4,1,"TA",9,"Typ",1,"Gd","Detchd","Unf",1,226,"Fa","TA",0,7,2006,"Normal",170891
1957412,50,"RL",10063,"Inside","1Fam","1.5Sto",5,7,1916,1986,"Gable","TA","TA","CBlock","Fa","TA","No","Unf",0,"Y",815,696,137,1726,2,1,3,1,"TA",8,"Min",0,NA,"Detchd","Unf",1,178,"Fa","Fa",0,8,2008,"Normal",153806
1968060,90,"RL",6776,"Inside","Duplex","2.5Sto",5,5,1975,1975,"Gable","TA","TA","CBlock","Gd","TA","Av","GLQ",1056,"Y",1165,0,0,1174,0,2,2,2,"TA",6,"Typ",2,"TA","Detchd","Unf",2,551,"TA","TA",0,6,2008,"Abnorml",122803
2095836,20,"RM",8302,"Corner","1Fam","1Story",4,5,2003,1998,"Gable","TA","TA","PConc","Gd","TA","No","Unf",0,"Y",1127,0,0,1155,2,0,2,1,"TA",5,"Typ",0,NA,"Attchd","RFn",2,439,"TA","TA",0,3,2010,"Normal",169189
2149076,20,"RL",12187,"Corner","1Fam","1Story",7,5,1980,1980,"Gable","TA","TA","PConc","Gd","TA","No","Unf",0,"Y",1407,0,0,1379,2,0,3,1,"TA",5,"Typ",0,NA,"Attchd","RFn",2,516,"TA","TA",0,5,2009,"Normal",155006
2159724,20,"RL",13347,"CulDSac","1Fam","1Story",5,5,1953,1953,"Gable","TA","Gd","CBlock","TA","TA","No","Unf",0,"Y",1640,0,0,1687,1,1,3,1,"TA",8,"Min",1,"TA","Attchd","RFn",1,333,"TA","TA",0,3,2006,"Normal",163218
2223612,60,"FV",8833,"Inside","1Fam","2Story",7,5,1999,1999,"Gable","TA","TA","PConc","Gd","TA","No","GLQ",815,"Y",927,906,0,1854,2,1,3,1,"Gd",7,"Typ",1,"TA","Attchd","RFn",2,637,"TA","TA",0,7,2009,"Abnorml",252516
2266204,20,"RL",8776,"Inside","1Fam","1Story",7,5,1995,1995,"Gable","Gd","TA","PConc","Gd","TA","Mn","GLQ",913,"Y",1396,0,0,1488,2,0,3,1,"Gd",8,"Typ",0,NA,"Attchd","Unf",2,485,"TA","TA",0,4,2008,"Normal",206136
2276852,70,"RM",10203,"Inside","1Fam","2Story",4,4,1925,1944,"Gable","TA","TA","CBlock","TA","TA","No","Unf",0,"N",790,539,0,1275,1,0,3,1,"TA",8,"Typ",0,NA,"Detchd","Unf",1,208,"TA","TA",0,9,2005,"Family",114923
2308796,20,"RL",8589,"Inside","1Fam","1Story",7,5,2000,2000,"Gable","Gd","TA","PConc","Gd","TA","Mn","Unf",0,"Y",1456,0,0,1553,2,0,2,1,"Gd",5,"Typ",0,NA,"Attchd","RFn",2,701,"TA","TA",0,4,2006,"Abnorml",215417
2319444,60,"RL",8185,"Inside","1Fam","2Story",6,5,1995,1995,"Gable","Gd","TA","PConc","Gd","TA","No","Unf",0,"Y",980,1259,0,2220,2,1,4,1,"Gd",8,"Typ",1,"TA","Other","RFn",2,379,"TA","TA",0,12,2009,"Normal",180656
2340740,20,"RL",10371,"FR2","1Fam","1Story",4,6,1967,1967,"Gable","TA","TA","CBlock","TA","TA","No","ALQ",507,"Y",879,0,0,877,1,0,2,1,"TA",4,"Typ",0,NA,"Detchd","Unf",2,589,"TA","TA",0,3,2009,"Abnorml",83749
2362036,160,"RM",1635,"Inside","Twnhs","2Story",5,5,1970,1970,"Gable","TA","TA","CBlock","TA","TA","No","Unf",0,"Y",642,687,0,1354,2,1,3,1,"TA",6,"Typ",0,NA,"Detchd","Unf",1,269,"TA","TA",0,5,2008,"Abnorml",101520
2404628,120,"RL",3262,"Inside","TwnhsE","1Story",7,5,2005,2002,"Gable","Gd","TA","PConc","Gd","TA","Av","GLQ",16,"Y",1502,0,0,1578,2,0,2,1,"Gd",7,"Typ",1,"TA","Attchd","Fin",2,445,"TA","TA",0,5,2009,"Normal",223840
2489812,60,"RL",9467,"CulDSac","1Fam","2Story",7,7,1993,1997,"Gable","Gd","TA","PConc","Gd","TA","No","BLQ",388,"Y",972,730,0,1739,2,1,3,1,"Gd",7,"Typ",0,NA,"Attchd","RFn",2,445,"TA","TA",0,2,2009,"Normal",157217
2500460,20,"RL",12237,"Inside","1Fam","1Story",8,5,1998,1998,"Hip","Ex","TA","PConc","Ex","TA","No","Unf",0,"Y",1636,0,0,1716,2,0,3,1,"Gd",7,"Typ",0,NA,"Attchd","Fin",3,815,"TA","TA",0,12,2007,"Abnorml",307730
2511108,50,"RL",8374,"Inside","1Fam","1.5Sto",6,4,1945,1942,"Gable","TA","TA","CBlock","TA","Fa","No","LwQ",92,"Y",819,665,0,1523,1,1,3,1,"TA",7,"Typ",1,"Gd","Detchd","Unf",1,219,"TA","TA",0,4,2010,"Normal",125079
2543052,50,"RM",5093,"Corner","1Fam","1.5Sto",5,4,1900,1941,"Gable","TA","TA","BrkTil","TA","TA","No","Unf",0,"N",905,568,0,1461,1,0,3,1,"TA",6,"Typ",0,NA,"Attchd","Unf",1,339,"Fa","TA",0,4,2006,"Normal",60162
2734716,80,"RL",19380,"Corner","1Fam","2.5Sto",6,5,1952,1952,"Gable","TA","TA","CBlock","TA","TA","Gd","LwQ",669,"Y",1330,0,0,1360,1,0,3,1,"TA",6,"Typ",1,"TA","Attchd","Unf",2,882,"TA","TA",0,5,2009,"Normal",141334
2756012,80,"RL",8418,"Corner","1Fam","2.5Sto",6,7,1977,1987,"Gable","TA","TA","CBlock","Gd","Gd","Av","ALQ",481,"Y",1230,0,0,1187,1,0,3,1,"TA",6,"Typ",1,"TA","Attchd","Unf",2,479,"TA","TA",0,7,2006,"Normal",133751
2766660,50,"RM",5523,"Corner","1Fam","1.5Sto",5,7,1929,1991,"Gable","TA","TA","BrkTil","TA","TA","No","LwQ",235,"Y",895,0,386,1296,1,0,3,1,"TA",6,"Typ",0,NA,"Detchd","Unf",2,481,"TA","TA",0,4,2009,"Normal",120777
2777308,30,"RM",5340,"Inside","1Fam","1Story",5,5,1925,2001,"Gable","TA","TA","BrkTil","Fa","TA","No","Unf",0,"N",797,0,0,791,1,0,2,1,"TA",4,"Typ",0,NA,"Detchd","Unf",2,495,"TA","TA",0,6,2008,"Normal",85341
2787956,20,"RL",12002,"Inside","1Fam","1Story",6,6,1971,1971,"Gable","TA","Gd","CBlock","Gd","TA","No","GLQ",575,"Y",1485,0,0,1399,2,0,3,1,"Gd",7,"Typ",1,"TA","Attchd","Fin",2,558,"TA","TA",0,6,2008,"Normal",192624
2830548,20,"RL",7826,"Corner","1Fam","1Story",6,7,1973,1973,"Hip","TA","Gd","CBlock","TA","Gd","No","BLQ",759,"Y",1130,0,0,1100,1,1,3,1,"TA",6,"Typ",1,"Fa","Attchd","RFn",1,518,"TA","Gd",0,5,2007,"Normal",138302
2841196,60,"FV",11003,"Inside","1Fam","2Story",8,5,1999,1999,"Gable","Gd","TA","PConc","Gd","TA","Mn","Unf",0,"Y",1084,862,0,1905,2,1,3,1,"Gd",8,"Typ",1,"Gd","Attchd","RFn",3,1013,"TA","TA",0,8,2006,"Abnorml",252194
2851844,20,"RL",40937,"CulDSac","1Fam","1Story",7,7,1954,1996,"Flat","TA","TA","CBlock","Gd","TA","Gd","LwQ",235,"Y",1302,0,0,1312,1,0,2,1,"TA",5,"Mod",2,"TA","Attchd","Unf",2,454,"TA","TA",0,4,2008,"Normal",198041
2883788,20,"RL",8513,"Corner","1Fam","1Story",5,7,1977,1977,"Gable","TA","TA","CBlock","TA","TA","Gd","ALQ",543,"Y",850,0,0,856,1,0,2,1,"TA",5,"Typ",0,NA,"Attchd","Unf",1,256,"TA","TA",0,6,2006,"Normal",108546
2915732,20,"RL",19296,"Corner","1Fam","1Story",4,5,1950,1950,"Gable","TA","TA","CBlock","TA","TA","No","LwQ",123,"Y",879,0,0,871,1,0,2,1,"TA",4,"Typ",0,NA,"Detchd","Unf",2,385,"TA","TA",0,6,2010,"Normal",175854
2968972,120,"RL",5179,"Inside","Twnhs","1Story",7,5,2007,1998,"Gable","Gd","TA","PConc","Gd","TA","No","GLQ",872,"Y",1331,0,0,1365,2,0,2,1,"Gd",6,"Typ",1,"Gd","Attchd","RFn",2,610,"TA","TA",0,4,2009,"Normal",252177
2979620,20,"RL",9635,"Inside","1Fam","1Story",8,5,2008,1999,"Gable","Gd","TA","PConc","Gd","TA","No","Unf",0,"Y",1473,0,0,1444,2,0,3,1,"Gd",6,"Typ",1,"Gd","Attchd","Fin",3,885,"TA","TA",0,12,2008,"Abnorml",229725
3011564,50,"RL",9346,"Inside","1Fam","1.5Sto",6,7,1962,1971,"Gable","TA","TA","CBlock","TA","TA","No","LwQ",571,"Y",1048,675,0,1816,1,1,3,1,"Gd",7,"Typ",1,"Gd","Attchd","RFn",2,428,"TA","TA",0,6,2005,"Normal",195074
3022212,20,"RL",8255,"Corner","1Fam","1Story",4,4,1967,1967,"Gable","TA","TA","CBlock","TA","TA","No","BLQ",603,"Y",876,0,0,868,1,0,3,1,"TA",5,"Typ",0,NA,NA,NA,0,0,NA,NA,0,6,2006,"Normal",106514
3096748,20,"RL",9968,"Inside","1Fam","1Story",6,5,1945,1945,"Hip","TA","TA","CBlock","TA","TA","No","GLQ",1281,"Y",1710,0,0,1644,1,0,3,1,"TA",7,"Typ",2,"Gd","Attchd","Fin",2,430,"TA","TA",0,10,2009,"Normal",135567
